Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
branchPred.BTBEntries,2048,33663201,50006853,8401218,1166531,22514353,34740734,8399107,7576926,33892630
branchPred.BTBEntries,256,33663213,50006864,8401227,1166546,22514363,34740744,8399116,10507718,33892642
branchPred.BTBEntries,4096,33663201,50006853,8401218,1166531,22514353,34740734,8399107,10507706,33892630
branchPred.BTBEntries,1024,33663201,50006853,8401218,1166533,22514353,34740734,8399107,7576926,33892630
branchPred.BTBEntries,32,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
branchPred.BTBEntries,512,33663203,50006855,8401219,1166536,22514355,34740736,8399108,10507708,33892632
branchPred.BTBEntries,128,33663236,50006882,8401249,1166570,22514385,34740770,8399138,10507742,33892665
branchPred.BTBEntries,16,33679705,50007056,8401361,1166686,22523469,40742865,8399250,14928366,33913201
branchPred.BTBEntries,64,33663276,50006909,8401276,1166600,22514414,34740798,8399165,10507770,33896763
executeFuncUnits.funcUnits[7].opLat,1,33675575,50007014,8401313,1166611,22523426,34740838,8399202,10507788,33909063
executeFuncUnits.funcUnits[7].opLat,3,33679697,50007035,8401334,1166671,22523451,34740897,8399224,7577043,33913185
executeFuncUnits.funcUnits[7].opLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].issueLat,7,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].issueLat,3,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].issueLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].issueLat,8,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].issueLat,5,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].issueLat,6,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].issueLat,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[1].opLat,3,33679911,50007282,8401515,1166820,22523615,34741058,8399433,10509401,33942101
executeFuncUnits.funcUnits[1].opLat,2,33675630,50007065,8401372,1166685,22523486,34740899,8399264,7577077,33909119
executeFuncUnits.funcUnits[1].opLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeInputBufferSize,3,33675520,50006968,8401247,1166596,22523390,34740793,8399165,7576979,33909019
executeInputBufferSize,7,33683878,50850123,8403491,1166760,22523605,34965841,8399375,11105797,33921457
executeInputBufferSize,1,33663075,50006780,8400992,1166400,22517143,34706222,8398943,10507489,33888312
executeInputBufferSize,5,33675624,50007061,8403411,1166695,22523546,34750434,8399281,7577066,33909113
executeInputBufferSize,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeInputBufferSize,6,33679757,50850090,8403450,1166731,22523577,34953660,8399326,7577108,33921422
executeInputBufferSize,8,33683920,51693126,8407611,1166791,22523623,35106861,8401443,11218052,33921503
executeInputBufferSize,2,33671383,50006876,8401161,1166556,22523263,34706337,8399050,10507648,33904871
branchPred.indirectBranchPred.indirectPathLength,2,33679706,50007021,8401318,1166632,22523437,34740842,8399207,10507813,33913141
branchPred.indirectBranchPred.indirectPathLength,3,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
branchPred.indirectBranchPred.indirectPathLength,4,33683770,50007017,8401318,1166637,22523437,34740843,8399207,7577020,33904970
branchPred.indirectBranchPred.indirectPathLength,5,33683800,50007015,8401320,1166631,22523436,34740840,8399209,10507810,33900875
executeFuncUnits.funcUnits[3].opLat,5,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].opLat,8,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].opLat,3,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].opLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].opLat,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[3].opLat,6,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[3].opLat,7,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[6].opLat,3,33683917,50007122,8401390,1166716,22523507,34741826,8399284,10507885,33917386
executeFuncUnits.funcUnits[6].opLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[6].opLat,1,33663128,50006554,8401179,1166546,22523327,34482943,8399072,7576936,33818844
executeFuncUnits.funcUnits[0].issueLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[0].issueLat,2,33679751,50007067,8401363,1166673,22523465,34740889,8399248,10507861,33913260
executeFuncUnits.funcUnits[0].issueLat,3,33679754,50007069,8401375,1166704,22523482,34740913,8399260,7577083,33913226
executeFuncUnits.funcUnits[6].issueLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[6].issueLat,3,33675610,50007045,8401349,1166668,22523471,34746769,8399239,10507813,33909098
executeFuncUnits.funcUnits[6].issueLat,2,33675606,50007039,8401339,1166659,22523455,34741768,8399229,7577045,33909094
executeFuncUnits.funcUnits[1].issueLat,3,33675623,50007055,8401354,1166689,22523473,34740887,8399243,7577069,33909113
executeFuncUnits.funcUnits[1].issueLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[1].issueLat,2,33675606,50007034,8401332,1166658,22523453,34740864,8399221,10507842,33909097
executeBranchDelay,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeBranchDelay,1,33675414,50006500,8401140,1166469,22523299,34735070,8399061,10507568,33908914
executeBranchDelay,4,33688283,50846146,8403688,1167007,22523829,34951886,8399563,7577374,33929945
executeBranchDelay,3,33679889,50007198,8403524,1166818,22523597,34741035,8399398,7577194,33913388
executeFuncUnits.funcUnits[7].issueLat,2,33675590,50007031,8401329,1166647,22523448,34740881,8399218,7577031,33909078
executeFuncUnits.funcUnits[7].issueLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[7].issueLat,3,33675599,50007042,8401337,1166660,22523456,34740893,8399226,10507828,33909087
executeFuncUnits.funcUnits[0].opLat,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[0].opLat,3,33696512,50329521,8403729,1167046,22523806,34942234,8399605,7577410,34007813
executeFuncUnits.funcUnits[0].opLat,2,33692206,50007194,8401472,1166810,22523585,34741025,8399389,10507969,33921601
executeFuncUnits.funcUnits[2].issueLat,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
executeFuncUnits.funcUnits[2].issueLat,3,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[2].issueLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
branchPred.indirectBranchPred.indirectWays,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
branchPred.indirectBranchPred.indirectWays,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
branchPred.indirectBranchPred.indirectWays,8,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
branchPred.indirectBranchPred.indirectWays,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[2].opLat,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[2].opLat,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
executeFuncUnits.funcUnits[2].opLat,3,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
branchPred.indirectBranchPred.indirectTagSize,8,33675583,50007014,8401315,1166637,22523438,34740843,8399204,7577021,33909070
branchPred.indirectBranchPred.indirectTagSize,32,33691974,50007016,8401304,1166615,22523426,34740823,8399193,10507795,33909069
branchPred.indirectBranchPred.indirectTagSize,16,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
branchPred.indirectBranchPred.indirectSets,1024,33671489,50007017,8401318,1166634,22523438,34740843,8399207,7577020,33884464
branchPred.indirectBranchPred.indirectSets,512,33671489,50007017,8401316,1166634,22523438,34740843,8399205,7577018,33884464
branchPred.indirectBranchPred.indirectSets,128,33679707,50007017,8401318,1166634,22523436,34740843,8399207,7577020,33876306
branchPred.indirectBranchPred.indirectSets,256,33671527,50007017,8401318,1166634,22523437,34740843,8399207,7577020,33872226
decodeCycleInput,True,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
decodeCycleInput,False,33675580,50007017,8401321,1166639,22523436,34740843,8399210,10507816,33909068
fetch1FetchLimit,2,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
fetch1FetchLimit,4,33675582,50007017,8401318,1166637,22523438,34740843,8399207,7577022,33909070
fetch1FetchLimit,1,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
threadPolicy,"""RoundRobin""",33675578,50007016,8401317,1166637,22523434,34740842,8399206,7577023,33909066
threadPolicy,"""SingleThreaded""",33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
enableIdling,False,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507814,33909070
enableIdling,True,33675582,50007017,8401318,1166637,22523438,34740843,8399207,10507813,33909070
