Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
branchPred.BTBEntries,2048,151796012,265382839,88165353,60555994,216104926,163043310,79766702,81500418,153561894
branchPred.BTBEntries,256,151796056,265382901,88165353,60555994,216104926,163043309,79766702,131892468,153561906
branchPred.BTBEntries,4096,151796012,265382839,88165353,60555994,216104926,163043310,79766702,131892468,153561894
branchPred.BTBEntries,1024,151796012,265382839,88165353,60555994,216104926,163043310,79766702,81500418,153561894
branchPred.BTBEntries,32,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
branchPred.BTBEntries,512,151796057,265382839,88165353,60555994,216104926,163043310,79766702,131892468,153561894
branchPred.BTBEntries,128,151796056,265383046,88165428,60555994,216104946,163043309,79766783,131892467,153561951
branchPred.BTBEntries,16,151952290,265383992,88165617,60555985,216144499,185025399,79766954,163456704,153713208
branchPred.BTBEntries,64,151857990,265383046,88165541,60555992,216105016,163043308,79766865,131892467,153618824
executeFuncUnits.funcUnits[7].opLat,1,151923579,267561792,88165611,60555960,216144498,163043446,79766953,133501344,153684390
executeFuncUnits.funcUnits[7].opLat,3,151931401,267562195,88165735,69468417,216150246,163043569,79767121,81500325,153696848
executeFuncUnits.funcUnits[7].opLat,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[3].issueLat,7,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[3].issueLat,3,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[3].issueLat,2,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[3].issueLat,8,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[3].issueLat,5,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[3].issueLat,6,151923581,265383992,88165540,60555992,216144382,163043585,79766864,131892467,153684477
executeFuncUnits.funcUnits[3].issueLat,4,151923581,265383992,88165540,60555992,216144382,163043585,79766864,81500410,153684477
executeFuncUnits.funcUnits[1].opLat,3,151956522,277717866,88170817,65043454,207150562,169876542,79769439,127420284,153988667
