Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
branchPred.BTBEntries,2048,1.221150184103651,1.1920739456706166,1.1421414940628662,1.3959284691124052,1.1871980234268238,1.2048896087794096,1.209815644628256,1.1356415497157328,1.2167099736344746
branchPred.BTBEntries,256,1.2211498301378791,1.1920736671727015,1.1421414940628662,1.3959284691124052,1.1871980234268238,1.204889616169407,1.209815644628256,1.0188221968823876,1.2167098785554278
branchPred.BTBEntries,4096,1.221150184103651,1.1920739456706166,1.1421414940628662,1.3959284691124052,1.1871980234268238,1.2048896087794096,1.209815644628256,1.0188221968823876,1.2167099736344746
branchPred.BTBEntries,1024,1.221150184103651,1.1920739456706166,1.1421414940628662,1.3959284691124052,1.1871980234268238,1.2048896087794096,1.209815644628256,1.1356415497157328,1.2167099736344746
branchPred.BTBEntries,32,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
branchPred.BTBEntries,512,1.2211498220932049,1.1920739456706166,1.1421414940628662,1.3959284691124052,1.1871980234268238,1.2048896087794096,1.209815644628256,1.0188221968823876,1.2167099736344746
branchPred.BTBEntries,128,1.2211498301378791,1.1920730158474404,1.1421405224732761,1.3959284691124052,1.1871979135544635,1.204889616169407,1.2098144161085198,1.0188222046070303,1.2167095220091337
branchPred.BTBEntries,16,1.219894270760908,1.192068766529068,1.1421380740748404,1.3959286765792018,1.1869806642638636,1.0617417449806446,1.2098118225750478,0.8220829780098833,1.2155122544836876
branchPred.BTBEntries,64,1.2206517944824635,1.1920730158474404,1.1421390586147484,1.3959285152161325,1.187197529001363,1.2048896235594042,1.2098131724244146,1.0188222046070303,1.2162590699171085
executeFuncUnits.funcUnits[7].opLat,1,1.2201248102508169,1.1823660083723764,1.1421381518016134,1.3959292528761826,1.1869806697554708,1.204888603740625,1.2098118377418778,1.0065439790628625,1.2157401802486252
executeFuncUnits.funcUnits[7].opLat,3,1.2200619936361938,1.1823642275023196,1.142136545450452,1.216838379950417,1.1869491048370122,1.2048876947731684,1.209809289719758,1.1356428455960146,1.2156416376216121
executeFuncUnits.funcUnits[7].opLat,2,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.0188222046070303,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,7,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,3,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.0188222046070303,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,2,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,8,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,5,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.0188222046070303,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,6,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.0188222046070303,1.2157394920242985
executeFuncUnits.funcUnits[3].issueLat,4,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
executeFuncUnits.funcUnits[1].opLat,3,1.2198602966182657,1.1391271744828977,1.1420707148488825,1.2996209580136995,1.2385162681817876,1.156423292393131,1.2097741341768744,1.0545807133815523,1.2133379140167504
executeFuncUnits.funcUnits[1].opLat,2,1.2203864015286645,1.2716537597216417,1.1991723750742775,1.410838166207246,1.2948095073741852,1.2746299158905592,1.2769521506254866,1.2349519517583,1.2159919644167614
executeFuncUnits.funcUnits[1].opLat,1,1.2201247941884676,1.192068766529068,1.1421390715692321,1.3959285152161325,1.1869813067822415,1.2048875765335998,1.2098131875912785,1.135641661189189,1.2157394920242985
executeInputBufferSize,3,1.2200945415041404,1.1883629907855016,1.1421356256869017,1.3959284460605428,1.1869806642638636,1.2046335997825826,1.2098083342142303,1.1356415357815521,1.2158032628767188
