Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
branchPred.BTBEntries,2048,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.BTBEntries,256,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.BTBEntries,4096,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.BTBEntries,1024,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.BTBEntries,32,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.BTBEntries,512,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.BTBEntries,128,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.BTBEntries,16,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.BTBEntries,64,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[7].opLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[7].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[7].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].issueLat,7,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].issueLat,8,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].issueLat,5,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].issueLat,6,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].issueLat,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[1].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[1].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[1].opLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeInputBufferSize,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeInputBufferSize,7,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeInputBufferSize,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeInputBufferSize,5,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeInputBufferSize,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeInputBufferSize,6,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeInputBufferSize,8,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeInputBufferSize,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectPathLength,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectPathLength,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectPathLength,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectPathLength,5,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].opLat,5,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].opLat,8,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].opLat,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[3].opLat,6,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[3].opLat,7,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[6].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[6].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[6].opLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[0].issueLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[0].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[0].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[6].issueLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[6].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[6].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[1].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[1].issueLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[1].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeBranchDelay,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeBranchDelay,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeBranchDelay,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeBranchDelay,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[7].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[7].issueLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[7].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[0].opLat,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[0].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[0].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[2].issueLat,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
executeFuncUnits.funcUnits[2].issueLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[2].issueLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectWays,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectWays,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectWays,8,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectWays,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[2].opLat,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[2].opLat,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
executeFuncUnits.funcUnits[2].opLat,3,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectTagSize,8,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectTagSize,32,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
branchPred.indirectBranchPred.indirectTagSize,16,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectSets,1024,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectSets,512,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectSets,128,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
branchPred.indirectBranchPred.indirectSets,256,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
decodeCycleInput,True,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
decodeCycleInput,False,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
fetch1FetchLimit,2,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
fetch1FetchLimit,4,185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
fetch1FetchLimit,1,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
threadPolicy,"""RoundRobin""",185365728,316355968,100697308,84531836,256559341,196449190,96503004,92555261,186840288
threadPolicy,"""SingleThreaded""",185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
enableIdling,False,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
enableIdling,True,185365728,316355968,100697308,84531836,256559341,196449190,96503004,134374974,186840288
