Parameter,Value,cs1,crf,ccm,cci,cce,crd,cca,cch,cs3
branchPred.BTBEntries,2048,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.06789,0.127917
branchPred.BTBEntries,256,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.109866,0.127917
branchPred.BTBEntries,4096,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.109866,0.127917
branchPred.BTBEntries,1024,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.06789,0.127917
branchPred.BTBEntries,32,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
branchPred.BTBEntries,512,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.109866,0.127917
branchPred.BTBEntries,128,0.126446,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.109866,0.127917
branchPred.BTBEntries,16,0.126576,0.221065,0.073442,0.050443,0.180048,0.154126,0.066446,0.136159,0.128043
branchPred.BTBEntries,64,0.126498,0.221064,0.073442,0.050443,0.180015,0.135815,0.066446,0.109866,0.127964
executeFuncUnits.funcUnits[7].opLat,1,0.126552,0.222879,0.073442,0.050443,0.180048,0.135815,0.066446,0.111207,0.128019
executeFuncUnits.funcUnits[7].opLat,3,0.126559,0.222879,0.073442,0.057867,0.180053,0.135815,0.066446,0.06789,0.128029
executeFuncUnits.funcUnits[7].opLat,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[3].issueLat,7,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[3].issueLat,3,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[3].issueLat,2,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[3].issueLat,8,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[3].issueLat,5,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[3].issueLat,6,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.109866,0.128019
executeFuncUnits.funcUnits[3].issueLat,4,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
executeFuncUnits.funcUnits[1].opLat,3,0.12658,0.231339,0.073446,0.054181,0.172556,0.141507,0.066448,0.106141,0.128273
executeFuncUnits.funcUnits[1].opLat,2,0.126525,0.20723,0.069949,0.04991,0.165054,0.128384,0.062952,0.06243,0.127993
executeFuncUnits.funcUnits[1].opLat,1,0.126552,0.221065,0.073442,0.050443,0.180048,0.135815,0.066446,0.06789,0.128019
