Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.BTBEntries,2048,4919078,821687,823905,1379103,5339894
branchPred.BTBEntries,256,4919106,821698,823919,1379118,5339923
branchPred.BTBEntries,4096,4919076,821687,823906,1379103,5339892
branchPred.BTBEntries,1024,4919079,821687,823905,1379103,5339895
branchPred.BTBEntries,32,4919151,821789,824017,1379202,5339979
branchPred.BTBEntries,512,4919082,821688,823907,1379105,5339900
branchPred.BTBEntries,128,4919113,821723,823944,1379138,5339931
branchPred.BTBEntries,16,4921588,821838,824055,1379254,5340036
branchPred.BTBEntries,64,4919129,821753,823978,1379167,5339951
executeFuncUnits.funcUnits[7].opLat,1,4919142,821764,823995,1379203,5339972
executeFuncUnits.funcUnits[7].opLat,3,4919163,821819,824029,1379251,5340009
executeFuncUnits.funcUnits[7].opLat,2,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,7,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,3,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,2,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,8,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,5,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,6,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].issueLat,4,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[1].opLat,3,4919355,822071,824198,1379411,5340153
executeFuncUnits.funcUnits[1].opLat,2,4919227,821930,824077,1379257,5340031
executeFuncUnits.funcUnits[1].opLat,1,4919151,821789,824017,1379202,5339979
executeInputBufferSize,3,4919083,821745,823872,1379069,4930314
executeInputBufferSize,7,5738600,822118,824212,1379426,5749872
executeInputBufferSize,1,4099297,821607,823705,1378904,4110916
executeInputBufferSize,5,4919226,821935,824055,1379251,5340033
executeInputBufferSize,4,4919151,821789,824017,1379202,5339979
executeInputBufferSize,6,5328848,821984,824082,1379333,5340075
executeInputBufferSize,8,5739076,822157,824248,1379466,5753127
executeInputBufferSize,2,4509421,821694,823795,1379023,4520651
branchPred.indirectBranchPred.indirectPathLength,2,4919153,821790,824016,1379200,5339981
branchPred.indirectBranchPred.indirectPathLength,3,4919151,821789,824017,1379202,5339979
branchPred.indirectBranchPred.indirectPathLength,4,4919158,821787,824016,1379198,5339978
branchPred.indirectBranchPred.indirectPathLength,5,4919153,821787,824016,1379195,5339975
executeFuncUnits.funcUnits[3].opLat,5,4919151,821789,824017,1379202,5339979
executeFuncUnits.funcUnits[3].opLat,8,4919151,821789,824017,1379202,5339979
