Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.BTBEntries,2048,34045997,28522567,24638738,51781981,30860597
branchPred.BTBEntries,256,34046072,28522566,24638738,51781981,30860596
branchPred.BTBEntries,4096,34045997,28522567,24638738,51781981,30860495
branchPred.BTBEntries,1024,34045997,28522567,24638738,51781981,30860597
branchPred.BTBEntries,32,34046218,28522558,24638818,51781981,30860859
branchPred.BTBEntries,512,34045996,28522566,24638738,51781981,30860596
branchPred.BTBEntries,128,34046072,28522566,24638738,51781981,30860596
branchPred.BTBEntries,16,34052636,28522558,24638935,51790055,30860931
branchPred.BTBEntries,64,34046218,28522558,24638738,51781981,30860686
executeFuncUnits.funcUnits[7].opLat,1,34456376,28522580,24638818,51782136,31270267
executeFuncUnits.funcUnits[7].opLat,3,34046895,28522551,24639028,51782138,30860944
executeFuncUnits.funcUnits[7].opLat,2,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,7,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,3,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,2,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,8,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,5,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,6,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].issueLat,4,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[1].opLat,3,33639810,29342092,25462189,54538198,31684198
executeFuncUnits.funcUnits[1].opLat,2,33638608,28497386,23821552,51790067,30458173
executeFuncUnits.funcUnits[1].opLat,1,34046218,28522558,24638818,51781981,30860859
executeInputBufferSize,3,33636871,28522543,24637698,51789889,30860964
executeInputBufferSize,7,34046017,28522563,24637464,51788475,31270558
executeInputBufferSize,1,34867277,28556040,25050452,51790852,32093049
executeInputBufferSize,5,33636615,28522579,24637643,51781772,30860971
executeInputBufferSize,4,34046218,28522558,24638818,51781981,30860859
executeInputBufferSize,6,33636489,28522502,24637448,51785913,30864199
executeInputBufferSize,8,33636525,28522468,24637336,51788446,30861062
executeInputBufferSize,2,33637282,28525687,24637839,51791803,30860962
branchPred.indirectBranchPred.indirectPathLength,2,34046218,28522558,24638818,51781981,30860858
branchPred.indirectBranchPred.indirectPathLength,3,34046218,28522558,24638818,51781981,30860859
branchPred.indirectBranchPred.indirectPathLength,4,34046218,28522559,24638818,51781981,30860858
branchPred.indirectBranchPred.indirectPathLength,5,34046219,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,5,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,8,34046218,28522558,24638935,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,3,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,2,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,4,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,6,34046218,28522558,24638818,51781981,30860859
executeFuncUnits.funcUnits[3].opLat,7,34046218,28522558,24638818,51781981,30860859
