Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.BTBEntries,2048,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,256,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,4096,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,1024,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,32,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,512,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,128,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,16,23770945,24583577,20503021,42675207,23010182
branchPred.BTBEntries,64,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].opLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].opLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[7].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,7,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,8,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,5,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,6,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].issueLat,4,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].opLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[1].opLat,1,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,3,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,7,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,1,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,5,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,4,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,6,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,8,23770945,24583577,20503021,42675207,23010182
executeInputBufferSize,2,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectPathLength,2,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectPathLength,3,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectPathLength,4,23770945,24583577,20503021,42675207,23010182
branchPred.indirectBranchPred.indirectPathLength,5,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,5,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,8,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,4,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,6,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[3].opLat,7,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[6].opLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[6].opLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[6].opLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].issueLat,1,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].issueLat,2,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[0].issueLat,3,23770945,24583577,20503021,42675207,23010182
executeFuncUnits.funcUnits[6].issueLat,1,23770945,24583577,20503021,42675207,23010182
