Parameter,Value,dpt,dp1f,dpcvt,dp1d,dptd
branchPred.BTBEntries,2048,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,256,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,4096,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,1024,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,32,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,512,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,128,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.BTBEntries,16,0.028366,0.023759,0.020524,0.043141,0.025707
branchPred.BTBEntries,64,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[7].opLat,1,0.028702,0.023759,0.020524,0.043135,0.026048
executeFuncUnits.funcUnits[7].opLat,3,0.028361,0.023759,0.020524,0.043135,0.025707
executeFuncUnits.funcUnits[7].opLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,7,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,3,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,8,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,5,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,6,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].issueLat,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[1].opLat,3,0.028022,0.024442,0.02121,0.04543,0.026393
executeFuncUnits.funcUnits[1].opLat,2,0.028021,0.023738,0.019843,0.043141,0.025372
executeFuncUnits.funcUnits[1].opLat,1,0.02836,0.023759,0.020524,0.043134,0.025707
executeInputBufferSize,3,0.02802,0.023759,0.020523,0.043141,0.025707
executeInputBufferSize,7,0.02836,0.023759,0.020523,0.04314,0.026048
executeInputBufferSize,1,0.029044,0.023787,0.020867,0.043142,0.026734
executeInputBufferSize,5,0.028019,0.023759,0.020523,0.043134,0.025707
executeInputBufferSize,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeInputBufferSize,6,0.028019,0.023759,0.020523,0.043138,0.02571
executeInputBufferSize,8,0.028019,0.023759,0.020523,0.04314,0.025707
executeInputBufferSize,2,0.02802,0.023762,0.020523,0.043143,0.025707
branchPred.indirectBranchPred.indirectPathLength,2,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectPathLength,3,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectPathLength,4,0.02836,0.023759,0.020524,0.043134,0.025707
branchPred.indirectBranchPred.indirectPathLength,5,0.028361,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,5,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,8,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,3,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,4,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,6,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[3].opLat,7,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[6].opLat,3,0.029728,0.02585,0.021893,0.046586,0.027429
executeFuncUnits.funcUnits[6].opLat,2,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[6].opLat,1,0.026653,0.022351,0.018472,0.040628,0.023985
executeFuncUnits.funcUnits[0].issueLat,1,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[0].issueLat,2,0.029044,0.023781,0.021207,0.043142,0.026734
executeFuncUnits.funcUnits[0].issueLat,3,0.029386,0.024442,0.021208,0.044287,0.026731
executeFuncUnits.funcUnits[6].issueLat,1,0.02836,0.023759,0.020524,0.043134,0.025707
executeFuncUnits.funcUnits[6].issueLat,3,0.032798,0.03054,0.023939,0.054383,0.030149
executeFuncUnits.funcUnits[6].issueLat,2,0.030408,0.02781,0.022572,0.049796,0.027757
executeFuncUnits.funcUnits[1].issueLat,3,0.028702,0.02442,0.020524,0.044214,0.026048
