Parameter,Value,em5,em1,ei,ed1
branchPred.BTBEntries,2048,2002185,2002164,2002180,2002208
branchPred.BTBEntries,256,2002197,2002176,2002188,2002219
branchPred.BTBEntries,4096,2002185,2002164,2002180,2002208
branchPred.BTBEntries,1024,2002185,2002164,2002180,2002208
branchPred.BTBEntries,32,2002294,2002269,2002282,2002317
branchPred.BTBEntries,512,2002186,2002165,2002180,2002210
branchPred.BTBEntries,128,2002227,2002202,2002211,2002246
branchPred.BTBEntries,16,2002341,2002322,2002316,2002358
branchPred.BTBEntries,64,2002253,2002229,2002240,2002273
executeFuncUnits.funcUnits[7].opLat,1,2002286,2002263,2002270,2002310
executeFuncUnits.funcUnits[7].opLat,3,2002338,2002322,2002295,2002353
executeFuncUnits.funcUnits[7].opLat,2,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,7,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,3,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,2,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,8,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,5,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,6,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].issueLat,4,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[1].opLat,3,2002479,2002472,2002461,2002501
executeFuncUnits.funcUnits[1].opLat,2,2002359,2002324,2002333,2002371
executeFuncUnits.funcUnits[1].opLat,1,2002294,2002269,2002282,2002317
executeInputBufferSize,3,2002251,2002220,2002235,2002275
executeInputBufferSize,7,2002417,2002378,2002385,2002426
executeInputBufferSize,1,2002101,2002060,2002077,2002097
executeInputBufferSize,5,2002344,2002317,2002328,2002354
executeInputBufferSize,4,2002294,2002269,2002282,2002317
executeInputBufferSize,6,2002379,2002349,2002357,2002393
executeInputBufferSize,8,2002447,2002411,2002404,2002464
executeInputBufferSize,2,2002189,2002174,2002179,2002218
branchPred.indirectBranchPred.indirectPathLength,2,2002290,2002271,2002284,2002317
branchPred.indirectBranchPred.indirectPathLength,3,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectPathLength,4,2002290,2002272,2002288,2002320
branchPred.indirectBranchPred.indirectPathLength,5,2002290,2002269,2002282,2002314
executeFuncUnits.funcUnits[3].opLat,5,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,8,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,3,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,2,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,4,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,6,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[3].opLat,7,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[6].opLat,3,2002360,2002339,2002360,2002391
executeFuncUnits.funcUnits[6].opLat,2,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[6].opLat,1,2002220,2002171,2002208,2002228
executeFuncUnits.funcUnits[0].issueLat,1,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[0].issueLat,2,2002346,2002304,2002310,2002354
executeFuncUnits.funcUnits[0].issueLat,3,2002361,2002329,2002328,2002372
executeFuncUnits.funcUnits[6].issueLat,1,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[6].issueLat,3,2002315,2002294,2002314,2002343
executeFuncUnits.funcUnits[6].issueLat,2,2002310,2002286,2002298,2002337
executeFuncUnits.funcUnits[1].issueLat,3,2002339,2002307,2002318,2002354
executeFuncUnits.funcUnits[1].issueLat,1,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[1].issueLat,2,2002319,2002290,2002300,2002333
executeBranchDelay,2,2002294,2002269,2002282,2002317
executeBranchDelay,1,2002155,2002108,2002148,2002175
executeBranchDelay,4,2002626,2002591,2002615,2002651
executeBranchDelay,3,2002465,2002455,2002448,2002494
executeFuncUnits.funcUnits[7].issueLat,2,2002319,2002300,2002292,2002348
executeFuncUnits.funcUnits[7].issueLat,1,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[7].issueLat,3,2002324,2002311,2002300,2002354
executeFuncUnits.funcUnits[0].opLat,1,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[0].opLat,3,2002650,2002643,2002656,2002664
executeFuncUnits.funcUnits[0].opLat,2,2002438,2002438,2002442,2002487
executeFuncUnits.funcUnits[2].issueLat,4,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[2].issueLat,3,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[2].issueLat,2,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectWays,2,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectWays,1,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectWays,8,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectWays,4,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[2].opLat,2,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[2].opLat,4,2002294,2002269,2002282,2002317
executeFuncUnits.funcUnits[2].opLat,3,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectTagSize,8,2002293,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectTagSize,32,2002278,2002247,2002252,2002282
branchPred.indirectBranchPred.indirectTagSize,16,2002294,2002269,2002282,2002317
branchPred.indirectBranchPred.indirectSets,1024,2002293,2002272,2002284,2002317
branchPred.indirectBranchPred.indirectSets,512,2002293,2002272,2002284,2002317
branchPred.indirectBranchPred.indirectSets,128,2002293,2002273,2002284,2002317
branchPred.indirectBranchPred.indirectSets,256,2002293,2002273,2002284,2002317
decodeCycleInput,True,2002294,2002269,2002282,2002317
decodeCycleInput,False,2002291,2002268,2002280,2002319
fetch1FetchLimit,2,2002294,2002269,2002282,2002317
fetch1FetchLimit,4,2002294,2002269,2002282,2002317
fetch1FetchLimit,1,2002294,2002269,2002282,2002317
threadPolicy,"""RoundRobin""",2002293,2002268,2002278,2002315
threadPolicy,"""SingleThreaded""",2002294,2002269,2002282,2002317
enableIdling,False,2002294,2002269,2002282,2002317
enableIdling,True,2002294,2002269,2002282,2002315
