Parameter,Value,em5,em1,ei,ed1
branchPred.BTBEntries,2048,92033541,26033673,142034882,38033804
branchPred.BTBEntries,256,92033540,26033673,142034973,38033899
branchPred.BTBEntries,4096,92033541,26033673,142034882,38033804
branchPred.BTBEntries,1024,92033541,26033673,142034882,38033804
branchPred.BTBEntries,32,92033940,26033890,142035136,38034059
branchPred.BTBEntries,512,92033540,26033673,142034882,38033804
branchPred.BTBEntries,128,92033771,26033673,142034973,38033899
branchPred.BTBEntries,16,92034009,26034042,142035216,38034138
branchPred.BTBEntries,64,92033842,26033804,142035058,38033975
executeFuncUnits.funcUnits[7].opLat,1,84033927,26033802,142035149,38034058
executeFuncUnits.funcUnits[7].opLat,3,92034035,26033834,142035359,38034237
executeFuncUnits.funcUnits[7].opLat,2,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,7,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,3,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,2,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,8,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,5,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,6,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].issueLat,4,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[1].opLat,3,92034776,26034340,142035722,38034988
executeFuncUnits.funcUnits[1].opLat,2,92034454,26034462,142035390,38034637
executeFuncUnits.funcUnits[1].opLat,1,92033940,26033890,142035136,38034059
executeInputBufferSize,3,92034117,26034043,142035137,38034135
executeInputBufferSize,7,92033605,26033266,142034720,38033734
executeInputBufferSize,1,94034606,27034571,144035677,40034710
executeInputBufferSize,5,92033546,26033367,142035058,38033824
executeInputBufferSize,4,92033940,26033890,142035136,38034059
executeInputBufferSize,6,92033679,26033267,142034972,38033737
executeInputBufferSize,8,92033599,26033189,142034802,38033651
executeInputBufferSize,2,92034392,26034535,142035305,38034314
branchPred.indirectBranchPred.indirectPathLength,2,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectPathLength,3,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectPathLength,4,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectPathLength,5,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].opLat,5,92033940,26033804,142035136,36034125
executeFuncUnits.funcUnits[3].opLat,8,92033940,26033890,142035136,42034137
executeFuncUnits.funcUnits[3].opLat,3,92033940,26033804,142035136,32034126
executeFuncUnits.funcUnits[3].opLat,2,92033940,26033804,142035136,30034024
executeFuncUnits.funcUnits[3].opLat,4,92033940,26033804,142035136,34034080
executeFuncUnits.funcUnits[3].opLat,6,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[3].opLat,7,92033940,26033890,142035136,40034090
executeFuncUnits.funcUnits[6].opLat,3,98034412,32034450,178035295,46034383
executeFuncUnits.funcUnits[6].opLat,2,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[6].opLat,1,78033389,20033339,136034650,30033471
executeFuncUnits.funcUnits[0].issueLat,1,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[0].issueLat,2,94034374,28034105,142035497,40034270
executeFuncUnits.funcUnits[0].issueLat,3,92034383,26034201,142035496,38034336
executeFuncUnits.funcUnits[6].issueLat,1,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[6].issueLat,3,104034556,26034623,206035339,38034698
executeFuncUnits.funcUnits[6].issueLat,2,94034315,26034220,174034999,38034356
executeFuncUnits.funcUnits[1].issueLat,3,92034366,26034051,142035395,38034243
executeFuncUnits.funcUnits[1].issueLat,1,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[1].issueLat,2,92034026,26033977,142035312,38034139
executeBranchDelay,2,92033940,26033890,142035136,38034059
executeBranchDelay,1,92033243,26033287,142034543,38033386
executeBranchDelay,4,92035330,26034778,142036213,38035162
executeBranchDelay,3,92034797,26034578,142035744,38034749
executeFuncUnits.funcUnits[7].issueLat,2,92034227,26034187,142035649,38034424
executeFuncUnits.funcUnits[7].issueLat,1,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[7].issueLat,3,92034625,26034548,144035925,38034687
executeFuncUnits.funcUnits[0].opLat,1,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[0].opLat,3,96035495,30034972,210036020,42035351
executeFuncUnits.funcUnits[0].opLat,2,94034766,28034702,176035524,40034709
executeFuncUnits.funcUnits[2].issueLat,4,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[2].issueLat,3,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[2].issueLat,2,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectWays,2,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectWays,1,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectWays,8,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectWays,4,92033940,26033890,142035136,38034059
executeFuncUnits.funcUnits[2].opLat,2,82033940,24033838,142035136,38034059
executeFuncUnits.funcUnits[2].opLat,4,102033940,28033877,142035136,38034059
executeFuncUnits.funcUnits[2].opLat,3,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectTagSize,8,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectTagSize,32,92033881,26034037,142035247,38033805
branchPred.indirectBranchPred.indirectTagSize,16,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectSets,1024,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectSets,512,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectSets,128,92033940,26033890,142035136,38034059
branchPred.indirectBranchPred.indirectSets,256,92033940,26033890,142035136,38034059
decodeCycleInput,True,92033940,26033890,142035136,38034059
decodeCycleInput,False,92033939,26033889,142035136,38034059
fetch1FetchLimit,2,92033940,26033890,142035136,38034059
fetch1FetchLimit,4,92033940,26033890,142035136,38034059
fetch1FetchLimit,1,92033940,26033890,142035136,38034059
threadPolicy,"""RoundRobin""",92033940,26033889,142035224,38034133
threadPolicy,"""SingleThreaded""",92033940,26033890,142035136,38034059
enableIdling,False,92033940,26033890,142035136,38034059
enableIdling,True,92034334,26034221,142035411,38034345
