Parameter,Value,em5,em1,ei,ed1
branchPred.BTBEntries,2048,56005368,22005344,144005472,28005349
branchPred.BTBEntries,256,56005368,22005344,144005472,28005349
branchPred.BTBEntries,4096,56005368,22005344,144005472,28005349
branchPred.BTBEntries,1024,56005368,22005344,144005472,28005349
branchPred.BTBEntries,32,56005368,22005344,144005472,28005349
branchPred.BTBEntries,512,56005368,22005344,144005472,28005349
branchPred.BTBEntries,128,56005368,22005344,144005472,28005349
branchPred.BTBEntries,16,56005368,22005344,144005472,28005349
branchPred.BTBEntries,64,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[7].opLat,1,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[7].opLat,3,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[7].opLat,2,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,7,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,3,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,2,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,8,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,5,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,6,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].issueLat,4,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[1].opLat,3,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[1].opLat,2,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[1].opLat,1,56005368,22005344,144005472,28005349
executeInputBufferSize,3,56005368,22005344,144005472,28005349
executeInputBufferSize,7,56005368,22005344,144005472,28005349
executeInputBufferSize,1,56005368,22005344,144005472,28005349
executeInputBufferSize,5,56005368,22005344,144005472,28005349
executeInputBufferSize,4,56005368,22005344,144005472,28005349
executeInputBufferSize,6,56005368,22005344,144005472,28005349
executeInputBufferSize,8,56005368,22005344,144005472,28005349
executeInputBufferSize,2,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectPathLength,2,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectPathLength,3,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectPathLength,4,56005368,22005344,144005472,28005349
branchPred.indirectBranchPred.indirectPathLength,5,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,5,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,8,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,3,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,2,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,4,56005368,22005344,144005472,28005349
executeFuncUnits.funcUnits[3].opLat,6,56005368,22005344,144005472,28005349
