Parameter,Value,em5,em1,ei,ed1
branchPred.BTBEntries,2048,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,256,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,4096,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,1024,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,32,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,512,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,128,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,16,0.076664,0.021686,0.118315,0.031682
branchPred.BTBEntries,64,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[7].opLat,1,0.07,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[7].opLat,3,0.076664,0.021686,0.118315,0.031683
executeFuncUnits.funcUnits[7].opLat,2,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,7,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,3,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,2,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,8,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,5,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,6,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].issueLat,4,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[1].opLat,3,0.076665,0.021687,0.118316,0.031683
executeFuncUnits.funcUnits[1].opLat,2,0.076665,0.021687,0.118315,0.031683
executeFuncUnits.funcUnits[1].opLat,1,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,3,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,7,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,1,0.078331,0.02252,0.119982,0.033349
executeInputBufferSize,5,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,4,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,6,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,8,0.076664,0.021686,0.118315,0.031682
executeInputBufferSize,2,0.076665,0.021687,0.118315,0.031683
branchPred.indirectBranchPred.indirectPathLength,2,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectPathLength,3,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectPathLength,4,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectPathLength,5,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].opLat,5,0.076664,0.021686,0.118315,0.030016
executeFuncUnits.funcUnits[3].opLat,8,0.076664,0.021686,0.118315,0.035014
executeFuncUnits.funcUnits[3].opLat,3,0.076664,0.021686,0.118315,0.026684
executeFuncUnits.funcUnits[3].opLat,2,0.076664,0.021686,0.118315,0.025018
executeFuncUnits.funcUnits[3].opLat,4,0.076664,0.021686,0.118315,0.02835
executeFuncUnits.funcUnits[3].opLat,6,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[3].opLat,7,0.076664,0.021686,0.118315,0.033348
executeFuncUnits.funcUnits[6].opLat,3,0.081663,0.026685,0.148303,0.038347
executeFuncUnits.funcUnits[6].opLat,2,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[6].opLat,1,0.065002,0.016688,0.113317,0.025018
executeFuncUnits.funcUnits[0].issueLat,1,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[0].issueLat,2,0.078331,0.023352,0.118316,0.033349
executeFuncUnits.funcUnits[0].issueLat,3,0.076665,0.021686,0.118316,0.031683
executeFuncUnits.funcUnits[6].issueLat,1,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[6].issueLat,3,0.086661,0.021687,0.171627,0.031683
executeFuncUnits.funcUnits[6].issueLat,2,0.078331,0.021687,0.144971,0.031683
executeFuncUnits.funcUnits[1].issueLat,3,0.076665,0.021686,0.118315,0.031683
executeFuncUnits.funcUnits[1].issueLat,1,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[1].issueLat,2,0.076664,0.021686,0.118315,0.031682
executeBranchDelay,2,0.076664,0.021686,0.118315,0.031682
executeBranchDelay,1,0.076664,0.021686,0.118315,0.031682
executeBranchDelay,4,0.076665,0.021687,0.118316,0.031683
executeBranchDelay,3,0.076665,0.021687,0.118316,0.031683
executeFuncUnits.funcUnits[7].issueLat,2,0.076665,0.021686,0.118316,0.031683
executeFuncUnits.funcUnits[7].issueLat,1,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[7].issueLat,3,0.076665,0.021687,0.119982,0.031683
executeFuncUnits.funcUnits[0].opLat,1,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[0].opLat,3,0.079998,0.025019,0.17496,0.035015
executeFuncUnits.funcUnits[0].opLat,2,0.078331,0.023353,0.146638,0.033349
executeFuncUnits.funcUnits[2].issueLat,4,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[2].issueLat,3,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[2].issueLat,2,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectWays,2,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectWays,1,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectWays,8,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectWays,4,0.076664,0.021686,0.118315,0.031682
executeFuncUnits.funcUnits[2].opLat,2,0.068334,0.02002,0.118315,0.031682
executeFuncUnits.funcUnits[2].opLat,4,0.084994,0.023352,0.118315,0.031682
executeFuncUnits.funcUnits[2].opLat,3,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectTagSize,8,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectTagSize,32,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectTagSize,16,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectSets,1024,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectSets,512,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectSets,128,0.076664,0.021686,0.118315,0.031682
branchPred.indirectBranchPred.indirectSets,256,0.076664,0.021686,0.118315,0.031682
decodeCycleInput,True,0.076664,0.021686,0.118315,0.031682
decodeCycleInput,False,0.076664,0.021686,0.118315,0.031682
fetch1FetchLimit,2,0.076664,0.021686,0.118315,0.031682
fetch1FetchLimit,4,0.076664,0.021686,0.118315,0.031682
fetch1FetchLimit,1,0.076664,0.021686,0.118315,0.031682
threadPolicy,"""RoundRobin""",0.076664,0.021686,0.118315,0.031682
threadPolicy,"""SingleThreaded""",0.076664,0.021686,0.118315,0.031682
enableIdling,False,0.076664,0.021686,0.118315,0.031682
enableIdling,True,0.076665,0.021687,0.118315,0.031683
