Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.BTBEntries,2048,821408,821420,213353,831204,821400,821381,213341,6154,4200828
branchPred.BTBEntries,256,821423,821431,213366,831215,821414,821395,213354,6184,4200850
branchPred.BTBEntries,4096,821478,821420,213353,831204,821400,821381,213341,6153,4200828
branchPred.BTBEntries,1024,1640627,821420,213353,831204,821400,821381,213341,6156,4200830
branchPred.BTBEntries,32,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.BTBEntries,512,821409,821422,213355,831206,821402,821383,213343,6158,4200833
branchPred.BTBEntries,128,821443,821456,213388,831242,821438,821419,213376,6195,4200894
branchPred.BTBEntries,16,821557,821579,219893,837744,821549,821526,219875,6306,4286699
branchPred.BTBEntries,64,1640697,821483,213426,831268,821474,821451,213411,6217,4229503
executeFuncUnits.funcUnits[7].opLat,1,821504,821501,213445,831305,821500,821475,213428,6235,4250007
executeFuncUnits.funcUnits[7].opLat,3,821609,821543,213495,831351,821531,821507,213478,6289,4250075
executeFuncUnits.funcUnits[7].opLat,2,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,7,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,3,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,2,821577,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,8,821577,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,5,821577,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,6,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].issueLat,4,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[1].opLat,3,821718,821695,213705,831597,821690,821664,213687,6443,4254332
executeFuncUnits.funcUnits[1].opLat,2,821563,821570,213520,831370,821575,821547,213505,6310,4252117
executeFuncUnits.funcUnits[1].opLat,1,821577,821527,213472,831312,821514,821491,213455,6258,4250016
executeInputBufferSize,3,1640687,821476,213338,831214,821462,821438,213322,6218,4245778
executeInputBufferSize,7,821704,821648,213691,831518,821612,821591,213670,6361,4252147
executeInputBufferSize,1,821347,821309,213128,830909,821304,821272,213116,6057,4235271
executeInputBufferSize,5,1640773,821565,213565,831438,821553,821530,213546,6306,4250069
executeInputBufferSize,4,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeInputBufferSize,6,821588,821605,213653,831484,821580,821558,213632,6335,4252106
executeInputBufferSize,8,1640869,821675,213719,831552,821654,821632,213700,6395,4252255
executeInputBufferSize,2,1640617,821415,213253,831124,821394,821367,213238,6166,4241552
branchPred.indirectBranchPred.indirectPathLength,2,1640736,821527,213474,831312,821516,821485,213457,6257,4250015
branchPred.indirectBranchPred.indirectPathLength,3,821508,821527,213472,831312,821514,821491,213455,6258,4250016
branchPred.indirectBranchPred.indirectPathLength,4,821508,821527,213474,831311,821519,821484,213457,6261,4250016
branchPred.indirectBranchPred.indirectPathLength,5,1640735,821524,213470,831309,821516,821484,213453,6255,4250013
executeFuncUnits.funcUnits[3].opLat,5,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,8,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,3,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,2,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,4,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,6,821577,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[3].opLat,7,1640737,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[6].opLat,3,821598,821602,213545,831408,821576,821553,213535,6322,4252145
executeFuncUnits.funcUnits[6].opLat,2,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[6].opLat,1,1640664,821429,213365,831215,821441,821415,213354,6161,4243750
executeFuncUnits.funcUnits[0].issueLat,1,821508,821527,213472,831312,821514,821491,213455,6258,4250016
executeFuncUnits.funcUnits[0].issueLat,2,821567,821573,213509,831358,821547,821525,213494,6294,4250060
executeFuncUnits.funcUnits[0].issueLat,3,1640793,821596,213530,831377,821564,821541,213520,6328,4250086
executeFuncUnits.funcUnits[6].issueLat,1,821508,821527,213472,831312,821514,821491,213455,6258,4250016
