Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.BTBEntries,2048,48169096,301499990,54464011,73016308,96967543,298223097,65958890,165892736,97029299
branchPred.BTBEntries,256,48169095,301499997,54464011,73016397,96967543,298223178,65958889,165892901,97029898
branchPred.BTBEntries,4096,67854352,301499990,54464011,73016308,96967543,298223097,65958890,165892736,97029299
branchPred.BTBEntries,1024,121295601,301499990,54464011,73016308,96967543,298223097,65958890,165892736,97029898
branchPred.BTBEntries,32,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.BTBEntries,512,48169095,301499990,54464011,73016308,96967543,298223097,65958890,165892820,97029898
branchPred.BTBEntries,128,48169095,301500074,54464011,73016397,96967542,298223177,65958889,165892901,97029898
branchPred.BTBEntries,16,48169088,301500389,54508012,73058466,96967722,298223463,66002933,165893149,97256630
branchPred.BTBEntries,64,121295601,301500197,54464011,73016492,96967543,298223340,65958889,165892899,97107323
executeFuncUnits.funcUnits[7].opLat,1,48169090,301500299,54464011,73017303,97970443,298223449,65958884,165892992,97172541
executeFuncUnits.funcUnits[7].opLat,3,68672276,302319504,54274685,67282548,94610702,298223571,65960055,165893142,97182723
executeFuncUnits.funcUnits[7].opLat,2,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,7,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,3,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,2,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,8,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,5,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,6,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].issueLat,4,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[1].opLat,3,49823935,302320284,56654579,91862974,101063877,297405459,67776172,167268691,97204472
executeFuncUnits.funcUnits[1].opLat,2,47363365,301500388,54652245,78751600,94510001,297405449,65958891,166581606,97177762
executeFuncUnits.funcUnits[1].opLat,1,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeInputBufferSize,3,121295645,301500824,54466667,73014373,96967782,298223553,65962395,170706802,97183656
executeInputBufferSize,7,67854222,301499981,54462528,73013035,96967474,298223159,65958814,163827715,97176485
executeInputBufferSize,1,72784516,302729660,56152441,82847994,101432223,299862945,67368815,194773870,104358231
executeInputBufferSize,5,121295539,301500196,54462596,73013112,96967663,298223301,65958882,165204747,97177276
executeInputBufferSize,4,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeInputBufferSize,6,48169054,301500071,54462485,73013155,96967475,298223187,65958768,163827713,97178927
executeInputBufferSize,8,121295435,301500145,54462420,73013217,96967401,298222824,65958750,163827529,97176449
executeInputBufferSize,2,122894520,301500919,54462712,73014053,96967865,298223706,65958998,177587913,97183556
branchPred.indirectBranchPred.indirectPathLength,2,121295601,301500301,54464011,73017430,96967543,298223424,65958890,165892994,97177226
branchPred.indirectBranchPred.indirectPathLength,3,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectPathLength,4,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectPathLength,5,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].opLat,5,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165205152,97177226
executeFuncUnits.funcUnits[3].opLat,8,48169095,301500301,54464011,73017430,96967543,298223424,65958889,167268401,97177226
executeFuncUnits.funcUnits[3].opLat,3,48169095,301500301,54464011,73017430,96967543,298223424,65958889,163828287,97177226
executeFuncUnits.funcUnits[3].opLat,2,48169095,301500301,54464011,73017430,96967543,298223424,65958889,163828287,97177226
executeFuncUnits.funcUnits[3].opLat,4,48169095,301500301,54464011,73017430,96967543,298223424,65958889,164516317,97177226
executeFuncUnits.funcUnits[3].opLat,6,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[3].opLat,7,121295601,301500301,54464011,73017430,96967543,298223424,65958889,166581093,97177226
executeFuncUnits.funcUnits[6].opLat,3,51481906,304777253,58088459,88594699,106530687,299862273,69394930,170019867,116691646
executeFuncUnits.funcUnits[6].opLat,2,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[6].opLat,1,109828685,299860910,53287926,58264188,87135671,288642013,65347345,165204824,77672923
executeFuncUnits.funcUnits[0].issueLat,1,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[0].issueLat,2,49823939,301500828,54840195,79571008,102250774,298223673,65960064,165893277,97204449
executeFuncUnits.funcUnits[0].issueLat,3,127880983,301500829,55870426,78751619,103337549,299043621,67369794,165893357,97212731
executeFuncUnits.funcUnits[6].issueLat,1,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[6].issueLat,3,74424708,316246187,57026959,95136048,97971752,320342974,67772952,165893739,108523665
executeFuncUnits.funcUnits[6].issueLat,2,49803844,308873402,55044173,81209151,97152325,312969829,66161490,165893371,100283187
executeFuncUnits.funcUnits[1].issueLat,3,50606848,301500813,55870409,78751604,101698887,299043351,67369777,165893342,97204021
executeFuncUnits.funcUnits[1].issueLat,1,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[1].issueLat,2,69478367,301500811,55681394,73017306,100060851,299043169,67369774,165893161,97187307
executeBranchDelay,2,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeBranchDelay,1,121295495,301499490,54459493,73009839,96967192,298222521,65958276,165892389,97153565
executeBranchDelay,4,48169178,301501559,54469199,73021660,96968393,298224404,65966264,165894306,97237265
executeBranchDelay,3,48169135,301500917,54466512,73017753,96968359,298224195,65962659,165894032,97206970
executeFuncUnits.funcUnits[7].issueLat,2,121295639,301500815,54464141,73017576,96967746,298223953,65958921,165893362,97222793
executeFuncUnits.funcUnits[7].issueLat,1,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[7].issueLat,3,48169125,302320013,54476775,73017651,96968424,298224418,66161523,165893797,97276416
executeFuncUnits.funcUnits[0].opLat,1,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[0].opLat,3,150941419,306416923,60450305,104161351,110996193,305597303,71005253,181021054,103450602
executeFuncUnits.funcUnits[0].opLat,2,73582893,303138671,56641952,87769738,101616444,298224287,67574409,168642842,100287129
executeFuncUnits.funcUnits[2].issueLat,4,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[2].issueLat,3,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[2].issueLat,2,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectWays,2,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectWays,1,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectWays,8,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectWays,4,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[2].opLat,2,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[2].opLat,4,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
executeFuncUnits.funcUnits[2].opLat,3,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectTagSize,8,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectTagSize,32,67854353,301500145,54464011,73016308,96967634,298223442,65958904,165893072,97177185
branchPred.indirectBranchPred.indirectTagSize,16,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectSets,1024,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectSets,512,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectSets,128,121295601,301500301,54464011,73017430,96967544,298223424,65958889,165892994,97177226
branchPred.indirectBranchPred.indirectSets,256,121295601,301500301,54464011,73017430,96967544,298223424,65958889,165892994,97177226
decodeCycleInput,True,67854350,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
decodeCycleInput,False,121295601,301500300,54462529,73017430,96967543,298223423,65958859,165893155,97177225
fetch1FetchLimit,2,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
fetch1FetchLimit,4,121295601,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
fetch1FetchLimit,1,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
threadPolicy,"""RoundRobin""",48169096,301500468,54462631,73017873,97603192,298223525,65958917,165893225,98205226
threadPolicy,"""SingleThreaded""",48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
enableIdling,False,48169095,301500301,54464011,73017430,96967543,298223424,65958889,165892994,97177226
enableIdling,True,48969620,308873316,55693187,73017656,98238509,305596611,67571331,170706856,98209636
