Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.BTBEntries,2048,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,256,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,4096,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,1024,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,32,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,512,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,128,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,16,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
branchPred.BTBEntries,64,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].opLat,1,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].opLat,3,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[7].opLat,2,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,7,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,3,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,2,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,8,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,5,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,6,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[3].issueLat,4,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[1].opLat,3,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[1].opLat,2,26219833,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeFuncUnits.funcUnits[1].opLat,1,49157398,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
executeInputBufferSize,3,81925433,74552593,18778370,79515795,55711023,67179739,18778334,90771341,41505268
