Parameter,Value,ml2,mc,mim2,mi,m,mcs,mim,mip,md
branchPred.BTBEntries,2048,0.040125,0.251149,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080825
branchPred.BTBEntries,256,0.040125,0.251149,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080826
branchPred.BTBEntries,4096,0.056523,0.251149,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080825
branchPred.BTBEntries,1024,0.101039,0.251149,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080826
branchPred.BTBEntries,32,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
branchPred.BTBEntries,512,0.040125,0.251149,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080826
branchPred.BTBEntries,128,0.040125,0.25115,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.080826
branchPred.BTBEntries,16,0.040125,0.25115,0.045405,0.060858,0.080774,0.24842,0.05498,0.138189,0.081015
branchPred.BTBEntries,64,0.101039,0.25115,0.045369,0.060823,0.080774,0.24842,0.054944,0.138189,0.08089
executeFuncUnits.funcUnits[7].opLat,1,0.040125,0.25115,0.045369,0.060823,0.081609,0.24842,0.054944,0.138189,0.080945
executeFuncUnits.funcUnits[7].opLat,3,0.057204,0.251832,0.045211,0.056046,0.078811,0.24842,0.054945,0.138189,0.080953
executeFuncUnits.funcUnits[7].opLat,2,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,7,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,3,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,2,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,8,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,5,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,6,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[3].issueLat,4,0.040125,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeFuncUnits.funcUnits[1].opLat,3,0.041503,0.251833,0.047193,0.076522,0.084186,0.247739,0.056458,0.139335,0.080971
executeFuncUnits.funcUnits[1].opLat,2,0.039454,0.25115,0.045525,0.0656,0.078727,0.247739,0.054944,0.138762,0.080949
executeFuncUnits.funcUnits[1].opLat,1,0.056523,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
executeInputBufferSize,3,0.101039,0.25115,0.045371,0.060821,0.080774,0.24842,0.054947,0.142199,0.080954
executeInputBufferSize,7,0.056523,0.251149,0.045367,0.06082,0.080774,0.24842,0.054944,0.136468,0.080948
executeInputBufferSize,1,0.06063,0.252174,0.046775,0.069012,0.084493,0.249786,0.056118,0.162247,0.08693
executeInputBufferSize,5,0.101039,0.25115,0.045367,0.06082,0.080774,0.24842,0.054944,0.137616,0.080949
executeInputBufferSize,4,0.101039,0.25115,0.045369,0.060824,0.080774,0.24842,0.054944,0.138189,0.080949
