Parameter,Value,stl2,stc
branchPred.BTBEntries,2048,90163071,24658361
branchPred.BTBEntries,256,90163070,24658361
branchPred.BTBEntries,4096,90163071,24658433
branchPred.BTBEntries,1024,90163071,24658361
branchPred.BTBEntries,32,90163070,24658701
branchPred.BTBEntries,512,90163070,24658361
branchPred.BTBEntries,128,90163070,24658361
branchPred.BTBEntries,16,90163063,24679429
branchPred.BTBEntries,64,90163070,24658591
executeFuncUnits.funcUnits[7].opLat,1,90163065,24658700
executeFuncUnits.funcUnits[7].opLat,3,82156535,24658596
executeFuncUnits.funcUnits[7].opLat,2,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,7,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,3,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,2,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,8,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,5,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,6,90163070,24658701
executeFuncUnits.funcUnits[3].issueLat,4,90163070,24658701
executeFuncUnits.funcUnits[1].opLat,3,93471864,26300473
executeFuncUnits.funcUnits[1].opLat,2,88556575,24660906
executeFuncUnits.funcUnits[1].opLat,1,90163070,24658701
executeInputBufferSize,3,90163110,24660461
executeInputBufferSize,7,90162993,24658184
executeInputBufferSize,1,92641700,24668737
executeInputBufferSize,5,90163034,24658276
executeInputBufferSize,4,90163070,24658701
executeInputBufferSize,6,90163029,24658268
executeInputBufferSize,8,90162963,24658274
executeInputBufferSize,2,90163089,24659476
branchPred.indirectBranchPred.indirectPathLength,2,90163070,24658701
branchPred.indirectBranchPred.indirectPathLength,3,90163070,24658701
branchPred.indirectBranchPred.indirectPathLength,4,90163070,24658701
branchPred.indirectBranchPred.indirectPathLength,5,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,5,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,8,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,3,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,2,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,4,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,6,90163070,24658701
executeFuncUnits.funcUnits[3].opLat,7,90163070,24658701
executeFuncUnits.funcUnits[6].opLat,3,95152866,31223579
executeFuncUnits.funcUnits[6].opLat,2,90163070,24658701
executeFuncUnits.funcUnits[6].opLat,1,80404298,18096380
executeFuncUnits.funcUnits[0].issueLat,1,90163070,24658701
executeFuncUnits.funcUnits[0].issueLat,2,93471842,26300564
executeFuncUnits.funcUnits[0].issueLat,3,95078493,24663844
executeFuncUnits.funcUnits[6].issueLat,1,90163070,24658701
executeFuncUnits.funcUnits[6].issueLat,3,96715196,27941164
executeFuncUnits.funcUnits[6].issueLat,2,93434922,26300577
executeFuncUnits.funcUnits[1].issueLat,3,95041113,24662252
executeFuncUnits.funcUnits[1].issueLat,1,90163070,24658701
executeFuncUnits.funcUnits[1].issueLat,2,93397137,24658852
executeBranchDelay,2,90163070,24658701
executeBranchDelay,1,90163003,24657708
executeBranchDelay,4,90163147,24662948
executeBranchDelay,3,90163059,24660939
executeFuncUnits.funcUnits[7].issueLat,2,90163084,24659474
executeFuncUnits.funcUnits[7].issueLat,1,90163070,24658701
executeFuncUnits.funcUnits[7].issueLat,3,90163100,24659781
executeFuncUnits.funcUnits[0].opLat,1,90163070,24658701
executeFuncUnits.funcUnits[0].opLat,3,103383425,31227997
executeFuncUnits.funcUnits[0].opLat,2,93512078,27943825
executeFuncUnits.funcUnits[2].issueLat,4,90163070,24658701
executeFuncUnits.funcUnits[2].issueLat,3,90163070,24658701
executeFuncUnits.funcUnits[2].issueLat,2,90163070,24658701
branchPred.indirectBranchPred.indirectWays,2,90163070,24658701
branchPred.indirectBranchPred.indirectWays,1,90163070,24658701
branchPred.indirectBranchPred.indirectWays,8,90163070,24658701
branchPred.indirectBranchPred.indirectWays,4,90163070,24658701
executeFuncUnits.funcUnits[2].opLat,2,90163070,24658701
executeFuncUnits.funcUnits[2].opLat,4,90163070,24658701
executeFuncUnits.funcUnits[2].opLat,3,90163070,24658701
branchPred.indirectBranchPred.indirectTagSize,8,90163070,24658701
branchPred.indirectBranchPred.indirectTagSize,32,90163072,24658589
branchPred.indirectBranchPred.indirectTagSize,16,90163070,24658701
branchPred.indirectBranchPred.indirectSets,1024,90163070,24658701
branchPred.indirectBranchPred.indirectSets,512,90163070,24658701
branchPred.indirectBranchPred.indirectSets,128,90163070,24658701
branchPred.indirectBranchPred.indirectSets,256,90163070,24658701
decodeCycleInput,True,90163070,24658701
decodeCycleInput,False,90163070,24658766
fetch1FetchLimit,2,90163070,24658701
fetch1FetchLimit,4,90163070,24658701
fetch1FetchLimit,1,90163070,24658701
threadPolicy,"""RoundRobin""",90163071,24658765
threadPolicy,"""SingleThreaded""",90163070,24658701
enableIdling,False,90163070,24658701
enableIdling,True,91761410,24659494
