Parameter,Value,stl2,stc
branchPred.BTBEntries,2048,0.5270337120615601,0.9321195354387098
branchPred.BTBEntries,256,0.5270337179068991,0.9321195354387098
branchPred.BTBEntries,4096,0.5270337120615601,0.9321168137488705
branchPred.BTBEntries,1024,0.5270337120615601,0.9321195354387098
branchPred.BTBEntries,32,0.5270337179068991,0.9321066831541531
branchPred.BTBEntries,512,0.5270337179068991,0.9321195354387098
branchPred.BTBEntries,128,0.5270337179068991,0.9321195354387098
branchPred.BTBEntries,16,0.5270337588242759,0.9313238162844043
branchPred.BTBEntries,64,0.5270337179068991,0.9321108412074315
executeFuncUnits.funcUnits[7].opLat,1,0.5270337471335962,0.9321067209544704
executeFuncUnits.funcUnits[7].opLat,3,0.5783955956759861,0.932110652204205
executeFuncUnits.funcUnits[7].opLat,2,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,7,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,3,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,2,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,8,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,5,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,6,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].issueLat,4,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[1].opLat,3,0.5083773444381081,0.8739211648398871
executeFuncUnits.funcUnits[1].opLat,2,0.536594578098803,0.9320233409105083
executeFuncUnits.funcUnits[1].opLat,1,0.5270337179068991,0.9321066831541531
executeInputBufferSize,3,0.5270334840934391,0.932040159346575
executeInputBufferSize,7,0.5270341679983938,0.9321262263271294
executeInputBufferSize,1,0.5129329232948013,0.9317274735224588
executeInputBufferSize,5,0.5270339283391905,0.9321227485652281
executeInputBufferSize,4,0.5270337179068991,0.9321066831541531
executeInputBufferSize,6,0.527033957565911,0.9321230509782763
executeInputBufferSize,8,0.5270343433589244,0.9321228241684718
executeInputBufferSize,2,0.5270336068454797,0.93207738883016
branchPred.indirectBranchPred.indirectPathLength,2,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectPathLength,3,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectPathLength,4,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectPathLength,5,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,5,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,8,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,3,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,2,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,4,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,6,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[3].opLat,7,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[6].opLat,3,0.49939618213916964,0.7361276553209996
executeFuncUnits.funcUnits[6].opLat,2,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[6].opLat,1,0.5910004711439679,1.270118112020194
executeFuncUnits.funcUnits[0].issueLat,1,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[0].issueLat,2,0.5083774640923413,0.8739181410710432
executeFuncUnits.funcUnits[0].issueLat,3,0.49978682350381803,0.9319123166688859
executeFuncUnits.funcUnits[6].issueLat,1,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[6].issueLat,3,0.4913289737840163,0.8226049566152649
executeFuncUnits.funcUnits[6].issueLat,2,0.5085783450431949,0.8739177091057736
executeFuncUnits.funcUnits[1].issueLat,3,0.4999833913982047,0.9319724735599977
executeFuncUnits.funcUnits[1].issueLat,1,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[1].issueLat,2,0.5087840968829698,0.9321009753414311
executeBranchDelay,2,0.5270337179068991,0.9321066831541531
executeBranchDelay,1,0.5270341095449095,0.9321442203792826
executeBranchDelay,4,0.5270332678161733,0.9319461728581676
executeBranchDelay,3,0.527033782205637,0.9320220937248173
executeFuncUnits.funcUnits[7].issueLat,2,0.5270336360721645,0.9320774644260458
executeFuncUnits.funcUnits[7].issueLat,1,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[7].issueLat,3,0.5270335425467847,0.9320658606011141
executeFuncUnits.funcUnits[0].opLat,1,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[0].opLat,3,0.4596382640640896,0.736023511210149
executeFuncUnits.funcUnits[0].opLat,2,0.5081587214862234,0.822526622608036
executeFuncUnits.funcUnits[2].issueLat,4,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[2].issueLat,3,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[2].issueLat,2,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectWays,2,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectWays,1,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectWays,8,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectWays,4,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[2].opLat,2,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[2].opLat,4,0.5270337179068991,0.9321066831541531
executeFuncUnits.funcUnits[2].opLat,3,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectTagSize,8,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectTagSize,32,0.5270337062162213,0.9321109168087436
branchPred.indirectBranchPred.indirectTagSize,16,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectSets,1024,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectSets,512,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectSets,128,0.5270337179068991,0.9321066831541531
branchPred.indirectBranchPred.indirectSets,256,0.5270337179068991,0.9321066831541531
decodeCycleInput,True,0.5270337179068991,0.9321066831541531
decodeCycleInput,False,0.5270337179068991,0.9321042261401078
fetch1FetchLimit,2,0.5270337179068991,0.9321066831541531
fetch1FetchLimit,4,0.5270337179068991,0.9321066831541531
fetch1FetchLimit,1,0.5270337179068991,0.9321066831541531
threadPolicy,"""RoundRobin""",0.5270337120615601,0.9321042639402257
threadPolicy,"""SingleThreaded""",0.5270337179068991,0.9321066831541531
enableIdling,False,0.5270337179068991,0.9321066831541531
enableIdling,True,0.5178536162423834,0.9320767084677407
