Parameter,Value,stl2,stc
branchPred.BTBEntries,2048,47518978,22984540
branchPred.BTBEntries,256,47518978,22984540
branchPred.BTBEntries,4096,47518978,22984540
branchPred.BTBEntries,1024,47518978,22984540
branchPred.BTBEntries,32,47518978,22984540
branchPred.BTBEntries,512,47518978,22984540
branchPred.BTBEntries,128,47518978,22984540
branchPred.BTBEntries,16,47518978,22984540
branchPred.BTBEntries,64,47518978,22984540
executeFuncUnits.funcUnits[7].opLat,1,47518978,22984540
executeFuncUnits.funcUnits[7].opLat,3,47518978,22984540
executeFuncUnits.funcUnits[7].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,7,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,2,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,8,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,5,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,6,47518978,22984540
executeFuncUnits.funcUnits[3].issueLat,4,47518978,22984540
executeFuncUnits.funcUnits[1].opLat,3,47518978,22984540
executeFuncUnits.funcUnits[1].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[1].opLat,1,47518978,22984540
executeInputBufferSize,3,47518978,22984540
executeInputBufferSize,7,47518978,22984540
executeInputBufferSize,1,47518978,22984540
executeInputBufferSize,5,47518978,22984540
executeInputBufferSize,4,47518978,22984540
executeInputBufferSize,6,47518978,22984540
executeInputBufferSize,8,47518978,22984540
executeInputBufferSize,2,47518978,22984540
branchPred.indirectBranchPred.indirectPathLength,2,47518978,22984540
branchPred.indirectBranchPred.indirectPathLength,3,47518978,22984540
branchPred.indirectBranchPred.indirectPathLength,4,47518978,22984540
branchPred.indirectBranchPred.indirectPathLength,5,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,5,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,8,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,3,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,4,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,6,47518978,22984540
executeFuncUnits.funcUnits[3].opLat,7,47518978,22984540
executeFuncUnits.funcUnits[6].opLat,3,47518978,22984540
executeFuncUnits.funcUnits[6].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[6].opLat,1,47518978,22984540
executeFuncUnits.funcUnits[0].issueLat,1,47518978,22984540
executeFuncUnits.funcUnits[0].issueLat,2,47518978,22984540
executeFuncUnits.funcUnits[0].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[6].issueLat,1,47518978,22984540
executeFuncUnits.funcUnits[6].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[6].issueLat,2,47518978,22984540
executeFuncUnits.funcUnits[1].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[1].issueLat,1,47518978,22984540
executeFuncUnits.funcUnits[1].issueLat,2,47518978,22984540
executeBranchDelay,2,47518978,22984540
executeBranchDelay,1,47518978,22984540
executeBranchDelay,4,47518978,22984540
executeBranchDelay,3,47518978,22984540
executeFuncUnits.funcUnits[7].issueLat,2,47518978,22984540
executeFuncUnits.funcUnits[7].issueLat,1,47518978,22984540
executeFuncUnits.funcUnits[7].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[0].opLat,1,47518978,22984540
executeFuncUnits.funcUnits[0].opLat,3,47518978,22984540
executeFuncUnits.funcUnits[0].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[2].issueLat,4,47518978,22984540
executeFuncUnits.funcUnits[2].issueLat,3,47518978,22984540
executeFuncUnits.funcUnits[2].issueLat,2,47518978,22984540
branchPred.indirectBranchPred.indirectWays,2,47518978,22984540
branchPred.indirectBranchPred.indirectWays,1,47518978,22984540
branchPred.indirectBranchPred.indirectWays,8,47518978,22984540
branchPred.indirectBranchPred.indirectWays,4,47518978,22984540
executeFuncUnits.funcUnits[2].opLat,2,47518978,22984540
executeFuncUnits.funcUnits[2].opLat,4,47518978,22984540
executeFuncUnits.funcUnits[2].opLat,3,47518978,22984540
branchPred.indirectBranchPred.indirectTagSize,8,47518978,22984540
branchPred.indirectBranchPred.indirectTagSize,32,47518978,22984540
branchPred.indirectBranchPred.indirectTagSize,16,47518978,22984540
branchPred.indirectBranchPred.indirectSets,1024,47518978,22984540
branchPred.indirectBranchPred.indirectSets,512,47518978,22984540
branchPred.indirectBranchPred.indirectSets,128,47518978,22984540
branchPred.indirectBranchPred.indirectSets,256,47518978,22984540
decodeCycleInput,True,47518978,22984540
decodeCycleInput,False,47518978,22984540
fetch1FetchLimit,2,47518978,22984540
fetch1FetchLimit,4,47518978,22984540
fetch1FetchLimit,1,47518978,22984540
threadPolicy,"""RoundRobin""",47518978,22984540
threadPolicy,"""SingleThreaded""",47518978,22984540
enableIdling,False,47518978,22984540
enableIdling,True,47518978,22984540
