Parameter,Value,stl2,stc
branchPred.BTBEntries,2048,0.075106,0.02054
branchPred.BTBEntries,256,0.075106,0.02054
branchPred.BTBEntries,4096,0.075106,0.02054
branchPred.BTBEntries,1024,0.075106,0.02054
branchPred.BTBEntries,32,0.075106,0.020541
branchPred.BTBEntries,512,0.075106,0.02054
branchPred.BTBEntries,128,0.075106,0.02054
branchPred.BTBEntries,16,0.075106,0.020558
branchPred.BTBEntries,64,0.075106,0.020541
executeFuncUnits.funcUnits[7].opLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[7].opLat,3,0.068436,0.020541
executeFuncUnits.funcUnits[7].opLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,7,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,3,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,8,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,5,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,6,0.075106,0.020541
executeFuncUnits.funcUnits[3].issueLat,4,0.075106,0.020541
executeFuncUnits.funcUnits[1].opLat,3,0.077862,0.021908
executeFuncUnits.funcUnits[1].opLat,2,0.073768,0.020543
executeFuncUnits.funcUnits[1].opLat,1,0.075106,0.020541
executeInputBufferSize,3,0.075106,0.020542
executeInputBufferSize,7,0.075106,0.02054
executeInputBufferSize,1,0.077171,0.020549
executeInputBufferSize,5,0.075106,0.02054
executeInputBufferSize,4,0.075106,0.020541
executeInputBufferSize,6,0.075106,0.02054
executeInputBufferSize,8,0.075106,0.02054
executeInputBufferSize,2,0.075106,0.020541
branchPred.indirectBranchPred.indirectPathLength,2,0.075106,0.020541
branchPred.indirectBranchPred.indirectPathLength,3,0.075106,0.020541
branchPred.indirectBranchPred.indirectPathLength,4,0.075106,0.020541
branchPred.indirectBranchPred.indirectPathLength,5,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,5,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,8,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,3,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,4,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,6,0.075106,0.020541
executeFuncUnits.funcUnits[3].opLat,7,0.075106,0.020541
executeFuncUnits.funcUnits[6].opLat,3,0.079262,0.026009
executeFuncUnits.funcUnits[6].opLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[6].opLat,1,0.066977,0.015074
executeFuncUnits.funcUnits[0].issueLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[0].issueLat,2,0.077862,0.021908
executeFuncUnits.funcUnits[0].issueLat,3,0.0792,0.020545
executeFuncUnits.funcUnits[6].issueLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[6].issueLat,3,0.080564,0.023275
executeFuncUnits.funcUnits[6].issueLat,2,0.077831,0.021908
executeFuncUnits.funcUnits[1].issueLat,3,0.079169,0.020544
executeFuncUnits.funcUnits[1].issueLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[1].issueLat,2,0.0778,0.020541
executeBranchDelay,2,0.075106,0.020541
executeBranchDelay,1,0.075106,0.02054
executeBranchDelay,4,0.075106,0.020544
executeBranchDelay,3,0.075106,0.020543
executeFuncUnits.funcUnits[7].issueLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[7].issueLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[7].issueLat,3,0.075106,0.020542
executeFuncUnits.funcUnits[0].opLat,1,0.075106,0.020541
executeFuncUnits.funcUnits[0].opLat,3,0.086118,0.026013
executeFuncUnits.funcUnits[0].opLat,2,0.077896,0.023277
executeFuncUnits.funcUnits[2].issueLat,4,0.075106,0.020541
executeFuncUnits.funcUnits[2].issueLat,3,0.075106,0.020541
executeFuncUnits.funcUnits[2].issueLat,2,0.075106,0.020541
branchPred.indirectBranchPred.indirectWays,2,0.075106,0.020541
branchPred.indirectBranchPred.indirectWays,1,0.075106,0.020541
branchPred.indirectBranchPred.indirectWays,8,0.075106,0.020541
branchPred.indirectBranchPred.indirectWays,4,0.075106,0.020541
executeFuncUnits.funcUnits[2].opLat,2,0.075106,0.020541
executeFuncUnits.funcUnits[2].opLat,4,0.075106,0.020541
executeFuncUnits.funcUnits[2].opLat,3,0.075106,0.020541
branchPred.indirectBranchPred.indirectTagSize,8,0.075106,0.020541
branchPred.indirectBranchPred.indirectTagSize,32,0.075106,0.020541
branchPred.indirectBranchPred.indirectTagSize,16,0.075106,0.020541
branchPred.indirectBranchPred.indirectSets,1024,0.075106,0.020541
branchPred.indirectBranchPred.indirectSets,512,0.075106,0.020541
branchPred.indirectBranchPred.indirectSets,128,0.075106,0.020541
branchPred.indirectBranchPred.indirectSets,256,0.075106,0.020541
decodeCycleInput,True,0.075106,0.020541
decodeCycleInput,False,0.075106,0.020541
fetch1FetchLimit,2,0.075106,0.020541
fetch1FetchLimit,4,0.075106,0.020541
fetch1FetchLimit,1,0.075106,0.020541
threadPolicy,"""RoundRobin""",0.075106,0.020541
threadPolicy,"""SingleThreaded""",0.075106,0.020541
enableIdling,False,0.075106,0.020541
enableIdling,True,0.076437,0.020541
