Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.BTBEntries,2048,7708181.125,21086925.9,2002184.25,1019326.7272727273,2656733.4,1643769.5
branchPred.BTBEntries,256,7708194.875,21086936.8,2002195.0,1019341.9090909091,2656752.8,1643781.5
branchPred.BTBEntries,4096,7708181.0625,21086925.9,2002184.25,1019326.7272727273,2656732.8,1643770.0
branchPred.BTBEntries,1024,7708181.375,21086926.1,2002184.25,1019327.0909090909,2656733.8,1643769.5
branchPred.BTBEntries,32,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
branchPred.BTBEntries,512,7708183.21875,21086927.8,2002185.25,1019329.0909090909,2656736.4,1643771.0
branchPred.BTBEntries,128,7708217.8125,21086959.5,2002221.5,1019366.2727272727,2656769.8,1643805.5
branchPred.BTBEntries,16,8038914.84375,22133901.7,2002334.25,1029011.9090909091,2657354.2,1645509.5
branchPred.BTBEntries,64,7709267.09375,21087395.9,2002248.75,1021995.0,2656795.6,1643835.0
executeFuncUnits.funcUnits[7].opLat,1,7710983.03125,21090784.6,2002282.25,1023879.6363636364,2656815.2,1643865.0
executeFuncUnits.funcUnits[7].opLat,3,7711279.96875,21091636.9,2002327.0,1023925.4545454546,2656854.2,1643915.5
executeFuncUnits.funcUnits[7].opLat,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,7,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,3,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,2,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,8,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,5,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,6,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[3].issueLat,4,7710995.625,21090794.8,2002290.5,1023897.0,2656827.6,1643872.5
executeFuncUnits.funcUnits[1].opLat,3,7712527.53125,21094836.4,2002478.25,1024475.4545454546,2657037.6,1644093.0
executeFuncUnits.funcUnits[1].opLat,2,7711117.0,21090843.0,2002346.75,1024138.3636363636,2656904.4,1643941.5
