Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,165023289.8,139176991.6,1.1857081253364294,0.11593440000000002,21086925.9
branchPred.BTBEntries,256,165023289.8,139177003.2,1.1857080265110924,0.11593439999999999,21086936.8
branchPred.BTBEntries,4096,165023289.8,139176991.6,1.1857081253364294,0.11593439999999999,21086925.9
branchPred.BTBEntries,1024,165023289.8,139176991.6,1.1857081253364294,0.11593440000000002,21086926.1
branchPred.BTBEntries,32,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
branchPred.BTBEntries,512,165023289.8,139176996.0,1.185708087850955,0.11593439999999999,21086927.8
branchPred.BTBEntries,128,165023289.8,139177039.7,1.1857077155521651,0.11593439999999999,21086959.5
branchPred.BTBEntries,16,165023289.8,144566505.8,1.1415043124048447,0.12042380000000001,22133901.7
branchPred.BTBEntries,64,165023289.8,139188945.9,1.1856062903052706,0.1159443,21087395.9
executeFuncUnits.funcUnits[7].opLat,1,165023289.8,139584790.1,1.182244066003005,0.1162741,21090784.6
executeFuncUnits.funcUnits[7].opLat,3,165023289.8,140292446.3,1.176280649117172,0.11686350000000001,21091636.9
executeFuncUnits.funcUnits[7].opLat,2,165023289.8,139206129.0,1.1854599433621202,0.11595860000000002,21090794.8
executeFuncUnits.funcUnits[3].issueLat,7,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,3,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,2,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,8,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,5,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,6,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].issueLat,4,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeFuncUnits.funcUnits[1].opLat,3,165023289.8,139929582.0,1.1793309709165,0.1165613,21094836.4
executeFuncUnits.funcUnits[1].opLat,2,165023289.8,132449979.4,1.2459291465922266,0.11033079999999999,21090843.0
executeFuncUnits.funcUnits[1].opLat,1,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeInputBufferSize,3,165023289.8,139304456.3,1.1846231928475643,0.11604040000000002,21090738.9
executeInputBufferSize,7,165023289.8,139234260.9,1.1852204244364972,0.11598220000000001,21259746.2
executeInputBufferSize,1,165023289.8,155365395.8,1.062162452264676,0.1294194,21061108.7
executeInputBufferSize,5,165023289.8,139223631.0,1.185310917512272,0.1159732,21092228.4
executeInputBufferSize,4,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
executeInputBufferSize,6,165023289.8,139354864.8,1.1841946819498474,0.11608270000000001,21257980.9
executeInputBufferSize,8,165023289.8,139347462.3,1.1842575894545013,0.1160765,21370293.7
executeInputBufferSize,2,165023289.8,139362881.3,1.1841265641226377,0.1160892,21086406.0
branchPred.indirectBranchPred.indirectPathLength,2,165023289.8,139220466.1,1.185337863195101,0.1159705,21091613.7
branchPred.indirectBranchPred.indirectPathLength,3,165023289.8,139206129.0,1.1854599433621202,0.1159586,21090794.8
branchPred.indirectBranchPred.indirectPathLength,4,165023289.8,139215072.8,1.1853837841041592,0.1159661,21091203.2
branchPred.indirectBranchPred.indirectPathLength,5,165023289.8,139211013.6,1.1854183482505727,0.1159627,21090795.4
executeFuncUnits.funcUnits[3].opLat,5,165023289.8,139206063.9,1.185460497744883,0.11595849999999999,21090794.8
executeFuncUnits.funcUnits[3].opLat,8,165023289.8,139206129.4,1.1854599399557761,0.1159586,21090794.8
executeFuncUnits.funcUnits[3].opLat,3,165023289.8,139206063.9,1.185460497744883,0.1159585,21090794.8
executeFuncUnits.funcUnits[3].opLat,2,165023289.8,139206063.9,1.185460497744883,0.1159585,21090794.8
executeFuncUnits.funcUnits[3].opLat,4,165023289.8,139206063.9,1.185460497744883,0.1159585,21090794.8
