Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.BTBEntries,2048,105154626.59375,139176991.6,74533975.0,126397356.63636364,33969976.0,57410716.0
branchPred.BTBEntries,256,105154667.5625,139177003.2,74534021.25,126397441.9090909,33969990.6,57410715.5
branchPred.BTBEntries,4096,105154625.65625,139176991.6,74533975.0,126397356.63636364,33969955.6,57410752.0
branchPred.BTBEntries,1024,105154645.3125,139176991.6,74533975.0,126397411.0909091,33969976.0,57410716.0
branchPred.BTBEntries,32,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.BTBEntries,512,105154649.125,139176996.0,74533974.75,126397418.63636364,33969975.4,57410715.5
branchPred.BTBEntries,128,105154688.53125,139177039.7,74534079.0,126397448.72727273,33969990.6,57410715.5
branchPred.BTBEntries,16,106851245.8125,144566505.8,74534351.25,126429981.45454545,33973023.0,57421246.0
branchPred.BTBEntries,64,105160866.25,139188945.9,74534169.75,126404521.81818181,33970036.2,57410830.5
executeFuncUnits.funcUnits[7].opLat,1,105093617.53125,139584790.1,72534234.0,126501725.63636364,34134035.4,57410882.5
executeFuncUnits.funcUnits[7].opLat,3,104902456.65625,140292446.3,74534366.25,125377272.54545455,33970311.2,53407565.5
executeFuncUnits.funcUnits[7].opLat,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,7,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,3,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,8,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,5,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,6,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].issueLat,4,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[1].opLat,3,107048389.84375,139929582.0,74534956.5,130334000.45454545,34933297.4,59886168.5
executeFuncUnits.funcUnits[1].opLat,2,102984123.5,132449979.4,74534735.75,126493631.63636364,33641157.2,56608740.5
executeFuncUnits.funcUnits[1].opLat,1,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeInputBufferSize,3,105337461.21875,139304456.3,74534358.0,126849566.18181819,33889593.0,57411785.5
executeInputBufferSize,7,105125182.875,139234260.9,74533831.25,126221969.45454545,34053015.4,57410588.5
executeInputBufferSize,1,112816391.125,155365395.8,76284891.0,132878444.27272727,34471534.0,58655218.5
executeInputBufferSize,5,105139365.03125,139223631.0,74533948.75,126347880.54545455,33887916.0,57410655.0
executeInputBufferSize,4,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeInputBufferSize,6,105137586.5625,139354864.8,74533913.75,126222783.54545455,33889310.2,57410648.5
executeInputBufferSize,8,105134941.09375,139347462.3,74533810.25,126221925.18181819,33889167.4,57410618.5
executeInputBufferSize,2,105646235.15625,139362881.3,74534636.5,127694184.36363636,33890714.6,57411282.5
branchPred.indirectBranchPred.indirectPathLength,2,105172961.09375,139220466.1,74534256.25,126410987.72727273,33970086.6,57410885.5
branchPred.indirectBranchPred.indirectPathLength,3,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectPathLength,4,105171275.6875,139215072.8,74534256.25,126410987.63636364,33970086.8,57410885.5
branchPred.indirectBranchPred.indirectPathLength,5,105170007.21875,139211013.6,74534256.25,126410987.63636364,33970087.0,57410885.5
executeFuncUnits.funcUnits[3].opLat,5,105084464.71875,139206063.9,74034251.25,126348456.54545455,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].opLat,8,105336468.4375,139206129.4,75534275.75,126536024.63636364,33970110.2,57410885.5
executeFuncUnits.funcUnits[3].opLat,3,104916437.71875,139206063.9,73034251.5,126223287.0,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].opLat,2,104853934.53125,139206063.9,72534226.0,126223287.0,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].opLat,4,105000437.21875,139206063.9,73534240.0,126285835.18181819,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].opLat,6,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
executeFuncUnits.funcUnits[3].opLat,7,105252484.875,139206129.2,75034264.0,126473542.0909091,33970086.8,57410885.5
executeFuncUnits.funcUnits[6].opLat,3,121897053.34375,175746204.9,88534635.0,134624686.0,36371425.4,63188222.5
executeFuncUnits.funcUnits[6].opLat,2,105168480.75,139206129.0,74534256.25,126410987.63636364,33970086.8,57410885.5
