Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,26908586.4,33969976.0,0.7921285078329169,0.0282968,2656733.4
branchPred.BTBEntries,256,26908586.4,33969990.6,0.7921281673831255,0.0282968,2656752.8
branchPred.BTBEntries,4096,26908586.4,33969955.6,0.7921289835303759,0.0282968,2656732.8
branchPred.BTBEntries,1024,26908586.4,33969976.0,0.7921285078329169,0.0282968,2656733.8
branchPred.BTBEntries,32,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.BTBEntries,512,26908586.4,33969975.4,0.7921285218240105,0.0282968,2656736.4
branchPred.BTBEntries,128,26908586.4,33969990.6,0.7921281673831255,0.0282968,2656769.8
branchPred.BTBEntries,16,26908586.4,33973023.0,0.7920574627697983,0.028299399999999995,2657354.2
branchPred.BTBEntries,64,26908586.4,33970036.2,0.7921271040623736,0.0282968,2656795.6
executeFuncUnits.funcUnits[7].opLat,1,26908586.4,34134035.4,0.7883212777121571,0.028433599999999996,2656815.2
executeFuncUnits.funcUnits[7].opLat,3,26908586.4,33970311.2,0.7921206915525696,0.0282972,2656854.2
executeFuncUnits.funcUnits[7].opLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,7,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,3,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,8,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,5,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,6,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].issueLat,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[1].opLat,3,26908586.4,34933297.4,0.7702847541669513,0.029099399999999997,2657037.6
executeFuncUnits.funcUnits[1].opLat,2,26908586.4,33641157.2,0.7998710103824846,0.028023,2656904.4
executeFuncUnits.funcUnits[1].opLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeInputBufferSize,3,26908586.4,33889593.0,0.7940073638535582,0.028229999999999998,2574816.6
executeInputBufferSize,7,26908586.4,34053015.4,0.7901968763682525,0.028366000000000002,2902845.6
executeInputBufferSize,1,26908586.4,34471534.0,0.7806031028384174,0.028714800000000002,2246885.8
executeInputBufferSize,5,26908586.4,33887916.0,0.794046656631231,0.028228399999999997,2656900.0
executeInputBufferSize,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeInputBufferSize,6,26908586.4,33889310.2,0.7940139896975537,0.0282298,2738864.4
executeInputBufferSize,8,26908586.4,33889167.4,0.7940173354627769,0.0282296,2903614.8
executeInputBufferSize,2,26908586.4,33890714.6,0.7939810864890999,0.028231000000000006,2410916.8
branchPred.indirectBranchPred.indirectPathLength,2,26908586.4,33970086.6,0.7921259288164428,0.0282968,2656828.0
branchPred.indirectBranchPred.indirectPathLength,3,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectPathLength,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.4
branchPred.indirectBranchPred.indirectPathLength,5,26908586.4,33970087.0,0.7921259194891082,0.028297,2656825.2
executeFuncUnits.funcUnits[3].opLat,5,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,8,26908586.4,33970110.2,0.7921253785040709,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,3,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,6,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[3].opLat,7,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[6].opLat,3,26908586.4,36371425.4,0.7398276560258208,0.030297200000000003,2656904.2
executeFuncUnits.funcUnits[6].opLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[6].opLat,1,26908586.4,31713955.6,0.8484777723533169,0.026417799999999998,2656752.2
executeFuncUnits.funcUnits[0].issueLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[0].issueLat,2,26908586.4,34551671.2,0.7787926159704831,0.0287816,2656872.2
executeFuncUnits.funcUnits[0].issueLat,3,26908586.4,35066886.0,0.767350325888646,0.029210800000000002,2656885.8
executeFuncUnits.funcUnits[6].issueLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[6].issueLat,3,26908586.4,41250541.8,0.6523207993355374,0.0343618,2656857.2
executeFuncUnits.funcUnits[6].issueLat,2,26908586.4,38017946.2,0.7077864295573126,0.0316686,2656848.2
executeFuncUnits.funcUnits[1].issueLat,3,26908586.4,34552030.4,0.7787845197079938,0.0287816,2656869.6
executeFuncUnits.funcUnits[1].issueLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[1].issueLat,2,26908586.4,34053788.6,0.7901789347456042,0.028366799999999998,2656853.0
executeBranchDelay,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeBranchDelay,1,26908586.4,33723387.0,0.7979206359076566,0.0280916,2574721.8
executeBranchDelay,4,26908586.4,34220912.8,0.786319948777053,0.028505999999999997,2739115.2
executeBranchDelay,3,26908586.4,34054213.8,0.7901690685926216,0.028367200000000002,2657025.2
executeFuncUnits.funcUnits[7].issueLat,2,26908586.4,34135797.0,0.7882805958800376,0.028435,2656843.8
executeFuncUnits.funcUnits[7].issueLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[7].issueLat,3,26908586.4,34381856.8,0.7826391272736614,0.028640199999999998,2574927.6
executeFuncUnits.funcUnits[0].opLat,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[0].opLat,3,26908586.4,40123749.6,0.6706398745943724,0.033423,2657226.0
executeFuncUnits.funcUnits[0].opLat,2,26908586.4,34396400.0,0.7823082183019153,0.0286522,2657023.6
executeFuncUnits.funcUnits[2].issueLat,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[2].issueLat,3,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[2].issueLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectWays,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectWays,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectWays,8,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectWays,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[2].opLat,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[2].opLat,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
executeFuncUnits.funcUnits[2].opLat,3,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectTagSize,8,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectTagSize,32,26908586.4,33970056.2,0.7921266376945234,0.028297,2656815.2
branchPred.indirectBranchPred.indirectTagSize,16,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
branchPred.indirectBranchPred.indirectSets,1024,26908586.4,33970086.6,0.7921259288164428,0.0282968,2656827.8
branchPred.indirectBranchPred.indirectSets,512,26908586.4,33970086.6,0.7921259288164428,0.0282968,2656827.8
branchPred.indirectBranchPred.indirectSets,128,26908586.4,33970086.6,0.7921259288164428,0.0282968,2656827.8
branchPred.indirectBranchPred.indirectSets,256,26908586.4,33970086.6,0.7921259288164428,0.0282968,2656827.8
decodeCycleInput,True,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
decodeCycleInput,False,26908586.4,33971501.0,0.7920929487337047,0.028298200000000003,2656830.6
fetch1FetchLimit,2,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
fetch1FetchLimit,4,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
fetch1FetchLimit,1,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
threadPolicy,"""RoundRobin""",26908586.4,33970142.2,0.7921246323190252,0.028297,2656825.2
threadPolicy,"""SingleThreaded""",26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
enableIdling,False,26908586.4,33970086.8,0.7921259241527755,0.0282968,2656827.6
enableIdling,True,26908586.4,34016755.8,0.7910391737003915,0.028336,2656827.6
