Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,62505383.25,74533975.0,0.8386159902245922,0.062086749999999996,2002184.25
branchPred.BTBEntries,256,62505383.25,74534021.25,0.83861546984492,0.06208675,2002195.0
branchPred.BTBEntries,4096,62505383.25,74533975.0,0.8386159902245922,0.062086749999999996,2002184.25
branchPred.BTBEntries,1024,62505383.25,74533975.0,0.8386159902245922,0.06208675,2002184.25
branchPred.BTBEntries,32,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
branchPred.BTBEntries,512,62505383.25,74533974.75,0.838615993037457,0.06208675,2002185.25
branchPred.BTBEntries,128,62505383.25,74534079.0,0.8386148200744521,0.06208675,2002221.5
branchPred.BTBEntries,16,62505383.25,74534351.25,0.8386117568843802,0.06208675,2002334.25
branchPred.BTBEntries,64,62505383.25,74534169.75,0.8386137990086084,0.06208675000000001,2002248.75
executeFuncUnits.funcUnits[7].opLat,1,62505383.25,72534234.0,0.8617363112981934,0.06042075,2002282.25
executeFuncUnits.funcUnits[7].opLat,3,62505383.25,74534366.25,0.8386115881142278,0.062087,2002327.0
executeFuncUnits.funcUnits[7].opLat,2,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[3].issueLat,7,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[3].issueLat,3,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
executeFuncUnits.funcUnits[3].issueLat,2,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[3].issueLat,8,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[3].issueLat,5,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[3].issueLat,6,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[3].issueLat,4,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[1].opLat,3,62505383.25,74534956.5,0.8386049470626578,0.06208775,2002478.25
executeFuncUnits.funcUnits[1].opLat,2,62505383.25,74534735.75,0.8386074307642528,0.062087500000000004,2002346.75
executeFuncUnits.funcUnits[1].opLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeInputBufferSize,3,62505383.25,74534358.0,0.8386116809378032,0.06208675,2002245.25
executeInputBufferSize,7,62505383.25,74533831.25,0.8386176076249938,0.06208675,2002401.5
executeInputBufferSize,1,62505383.25,76284891.0,0.8193677991884396,0.0635455,2002083.75
executeInputBufferSize,5,62505383.25,74533948.75,0.8386162855755043,0.06208675000000001,2002335.75
executeInputBufferSize,4,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeInputBufferSize,6,62505383.25,74533913.75,0.838616679377044,0.062086749999999996,2002369.5
executeInputBufferSize,8,62505383.25,74533810.25,0.8386178439066182,0.06208675000000001,2002431.5
executeInputBufferSize,2,62505383.25,74534636.5,0.8386085474502851,0.062087500000000004,2002190.0
branchPred.indirectBranchPred.indirectPathLength,2,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
branchPred.indirectBranchPred.indirectPathLength,3,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
branchPred.indirectBranchPred.indirectPathLength,4,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002292.5
branchPred.indirectBranchPred.indirectPathLength,5,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002288.75
executeFuncUnits.funcUnits[3].opLat,5,62505383.25,74034251.25,0.8442765638154542,0.06167025000000001,2002290.5
executeFuncUnits.funcUnits[3].opLat,8,62505383.25,75534275.75,0.8275101949329275,0.06291975,2002290.5
executeFuncUnits.funcUnits[3].opLat,3,62505383.25,73034251.5,0.8558365693663609,0.06083725,2002290.5
executeFuncUnits.funcUnits[3].opLat,2,62505383.25,72534226.0,0.8617364063414698,0.060420749999999995,2002290.5
executeFuncUnits.funcUnits[3].opLat,4,62505383.25,73534240.0,0.8500173966576658,0.06125375,2002290.5
executeFuncUnits.funcUnits[3].opLat,6,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[3].opLat,7,62505383.25,75034264.0,0.8330245399621699,0.06250325,2002290.5
executeFuncUnits.funcUnits[6].opLat,3,62505383.25,88534635.0,0.7059992199662878,0.0737495,2002362.5
executeFuncUnits.funcUnits[6].opLat,2,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[6].opLat,1,62505383.25,66033712.25,0.9465677624386474,0.05500625,2002206.75
executeFuncUnits.funcUnits[0].issueLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675000000001,2002290.5
executeFuncUnits.funcUnits[0].issueLat,2,62505383.25,76034561.5,0.8220654136342984,0.063337,2002328.5
executeFuncUnits.funcUnits[0].issueLat,3,62505383.25,74534604.0,0.8386089131163829,0.0620875,2002347.5
executeFuncUnits.funcUnits[6].issueLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[6].issueLat,3,62505383.25,93534804.0,0.6682580235053467,0.0779145,2002316.5
executeFuncUnits.funcUnits[6].issueLat,2,62505383.25,83034472.5,0.7527642600487406,0.06916800000000001,2002307.75
executeFuncUnits.funcUnits[1].issueLat,3,62505383.25,74534513.75,0.8386099285446804,0.06208725000000001,2002329.5
executeFuncUnits.funcUnits[1].issueLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[1].issueLat,2,62505383.25,74534363.5,0.8386116190554173,0.06208675,2002310.5
executeBranchDelay,2,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeBranchDelay,1,62505383.25,74533614.75,0.8386200435824159,0.06208675000000001,2002146.5
executeBranchDelay,4,62505383.25,74535370.75,0.838600286294276,0.062087750000000004,2002620.75
executeBranchDelay,3,62505383.25,74534967.0,0.8386048289254626,0.062087750000000004,2002465.5
executeFuncUnits.funcUnits[7].issueLat,2,62505383.25,74534621.75,0.8386087134063976,0.0620875,2002314.75
executeFuncUnits.funcUnits[7].issueLat,1,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[7].issueLat,3,62505383.25,75034946.25,0.8330169657448112,0.06250425000000001,2002322.25
executeFuncUnits.funcUnits[0].opLat,1,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
executeFuncUnits.funcUnits[0].opLat,3,62505383.25,94535459.5,0.6611845288592478,0.078748,2002653.25
executeFuncUnits.funcUnits[0].opLat,2,62505383.25,84534925.25,0.739403069975507,0.07041775,2002451.25
executeFuncUnits.funcUnits[2].issueLat,4,62505383.25,74534256.25,0.8386128257635898,0.062086749999999996,2002290.5
executeFuncUnits.funcUnits[2].issueLat,3,62505383.25,74534256.25,0.8386128257635898,0.06208675,2002290.5
