Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.BTBEntries,2048,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,256,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,4096,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,1024,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,32,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,512,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,128,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,16,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.BTBEntries,64,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].opLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,7,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,8,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,5,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,6,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].issueLat,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].opLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,7,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,5,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,6,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,8,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeInputBufferSize,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectPathLength,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectPathLength,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectPathLength,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectPathLength,5,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,5,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,8,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,6,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[3].opLat,7,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].opLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].issueLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].issueLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[6].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].issueLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[1].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeBranchDelay,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeBranchDelay,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeBranchDelay,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeBranchDelay,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].issueLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[7].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].opLat,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[0].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].issueLat,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].issueLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].issueLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectWays,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectWays,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectWays,8,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectWays,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].opLat,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].opLat,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
executeFuncUnits.funcUnits[2].opLat,3,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectTagSize,8,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectTagSize,32,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectTagSize,16,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectSets,1024,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectSets,512,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectSets,128,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
branchPred.indirectBranchPred.indirectSets,256,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
decodeCycleInput,True,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
decodeCycleInput,False,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
fetch1FetchLimit,2,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
fetch1FetchLimit,4,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
fetch1FetchLimit,1,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
threadPolicy,"""RoundRobin""",84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
threadPolicy,"""SingleThreaded""",84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
enableIdling,False,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
enableIdling,True,84668625.25,165023289.8,62505383.25,54917738.81818182,26908586.4,35251759.0
