Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,54917738.81818182,126397356.63636364,0.4344848680354631,0.10528909090909089,1019326.7272727273
branchPred.BTBEntries,256,54917738.81818182,126397441.9090909,0.4344845749147393,0.10528918181818181,1019341.9090909091
branchPred.BTBEntries,4096,54917738.81818182,126397356.63636364,0.4344848680354631,0.10528909090909093,1019326.7272727273
branchPred.BTBEntries,1024,54917738.81818182,126397411.0909091,0.43448468085064823,0.10528918181818182,1019327.0909090909
branchPred.BTBEntries,32,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
branchPred.BTBEntries,512,54917738.81818182,126397418.63636364,0.434484654913533,0.10528918181818181,1019329.0909090909
branchPred.BTBEntries,128,54917738.81818182,126397448.72727273,0.4344845514775983,0.10528927272727272,1019366.2727272727
branchPred.BTBEntries,16,54917738.81818182,126429981.45454545,0.43437275072231213,0.10531618181818182,1029011.9090909091
branchPred.BTBEntries,64,54917738.81818182,126404521.81818181,0.4344602394618018,0.10529509090909092,1021995.0
executeFuncUnits.funcUnits[7].opLat,1,54917738.81818182,126501725.63636364,0.4341264005840202,0.105376,1023879.6363636364
executeFuncUnits.funcUnits[7].opLat,3,54917738.81818182,125377272.54545455,0.4380198875220533,0.10443927272727273,1023925.4545454546
executeFuncUnits.funcUnits[7].opLat,2,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
executeFuncUnits.funcUnits[3].issueLat,7,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
executeFuncUnits.funcUnits[3].issueLat,3,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454544,1023897.0
executeFuncUnits.funcUnits[3].issueLat,2,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454548,1023897.0
executeFuncUnits.funcUnits[3].issueLat,8,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454548,1023897.0
executeFuncUnits.funcUnits[3].issueLat,5,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
executeFuncUnits.funcUnits[3].issueLat,6,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
executeFuncUnits.funcUnits[3].issueLat,4,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454544,1023897.0
executeFuncUnits.funcUnits[1].opLat,3,54917738.81818182,130334000.45454545,0.4213615681760234,0.1085681818181818,1024475.4545454546
executeFuncUnits.funcUnits[1].opLat,2,54917738.81818182,126493631.63636364,0.4341541792084527,0.10536918181818183,1024138.3636363636
executeFuncUnits.funcUnits[1].opLat,1,54917738.81818182,126410987.63636364,0.4344380171774251,0.10530054545454547,1023897.0
