Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,84668625.25,105154626.59375,0.8051821207744404,0.08759378125,7708181.125
branchPred.BTBEntries,256,84668625.25,105154667.5625,0.8051818070717226,0.0875938125,7708194.875
branchPred.BTBEntries,4096,84668625.25,105154625.65625,0.8051821279529952,0.08759378125,7708181.0625
branchPred.BTBEntries,1024,84668625.25,105154645.3125,0.8051819774426573,0.0875938125,7708181.375
branchPred.BTBEntries,32,84668625.25,105168480.75,0.8050760517428127,0.08760531250000003,7710995.625
branchPred.BTBEntries,512,84668625.25,105154649.125,0.8051819482498797,0.0875938125,7708183.21875
branchPred.BTBEntries,128,84668625.25,105154688.53125,0.8051816465115398,0.08759384375000001,7708217.8125
branchPred.BTBEntries,16,84668625.25,106851245.8125,0.7923971742788518,0.08900699999999999,8038914.84375
branchPred.BTBEntries,64,84668625.25,105160866.25,0.805134345781409,0.08759896875000002,7709267.09375
executeFuncUnits.funcUnits[7].opLat,1,84668625.25,105093617.53125,0.8056495459852588,0.08754296875000002,7710983.03125
executeFuncUnits.funcUnits[7].opLat,3,84668625.25,104902456.65625,0.8071176590977912,0.08738368750000002,7711279.96875
executeFuncUnits.funcUnits[7].opLat,2,84668625.25,105168480.75,0.8050760517428127,0.08760531249999999,7710995.625
executeFuncUnits.funcUnits[3].issueLat,7,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[3].issueLat,3,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[3].issueLat,2,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeFuncUnits.funcUnits[3].issueLat,8,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeFuncUnits.funcUnits[3].issueLat,5,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[3].issueLat,6,84668625.25,105168480.75,0.8050760517428127,0.08760531249999999,7710995.625
executeFuncUnits.funcUnits[3].issueLat,4,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeFuncUnits.funcUnits[1].opLat,3,84668625.25,107048389.84375,0.7909378681321975,0.08917128125,7712527.53125
executeFuncUnits.funcUnits[1].opLat,2,84668625.25,102984123.5,0.8221522150450695,0.08578578125000003,7711117.0
executeFuncUnits.funcUnits[1].opLat,1,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeInputBufferSize,3,84668625.25,105337461.21875,0.8037845631590848,0.087746,7698001.40625
executeInputBufferSize,7,84668625.25,105125182.875,0.8054076381553215,0.08756928124999999,7802369.4375
executeInputBufferSize,1,84668625.25,112816391.125,0.7504993237745708,0.09397609375000002,7637035.09375
executeInputBufferSize,5,84668625.25,105139365.03125,0.8052989974291209,0.0875810625,7711484.34375
executeInputBufferSize,4,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeInputBufferSize,6,84668625.25,105137586.5625,0.8053126195708131,0.08757965625000003,7776176.03125
executeInputBufferSize,8,84668625.25,105134941.09375,0.8053328833322886,0.08757746875000001,7837055.09375
executeInputBufferSize,2,84668625.25,105646235.15625,0.8014353291887376,0.08800328125,7670824.59375
branchPred.indirectBranchPred.indirectPathLength,2,84668625.25,105172961.09375,0.8050417556897285,0.08760903124999998,7711251.53125
branchPred.indirectBranchPred.indirectPathLength,3,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
branchPred.indirectBranchPred.indirectPathLength,4,84668625.25,105171275.6875,0.8050546567636926,0.08760765625000001,7711123.5625
branchPred.indirectBranchPred.indirectPathLength,5,84668625.25,105170007.21875,0.8050643666296625,0.08760662500000001,7710994.5
executeFuncUnits.funcUnits[3].opLat,5,84668625.25,105084464.71875,0.8057197177204896,0.0875353125,7710995.625
executeFuncUnits.funcUnits[3].opLat,8,84668625.25,105336468.4375,0.8037921387143998,0.08774525000000001,7710995.625
executeFuncUnits.funcUnits[3].opLat,3,84668625.25,104916437.71875,0.8070101033831476,0.08739534374999999,7710995.625
executeFuncUnits.funcUnits[3].opLat,2,84668625.25,104853934.53125,0.8074911602364897,0.08734328125000002,7710995.625
executeFuncUnits.funcUnits[3].opLat,4,84668625.25,105000437.21875,0.8063645018316234,0.0874653125,7710995.625
executeFuncUnits.funcUnits[3].opLat,6,84668625.25,105168480.75,0.8050760517428127,0.08760531250000003,7710995.625
executeFuncUnits.funcUnits[3].opLat,7,84668625.25,105252484.875,0.804433504354355,0.08767528124999999,7710995.625
executeFuncUnits.funcUnits[6].opLat,3,84668625.25,121897053.34375,0.6945912384874002,0.1015401875,7711679.53125
executeFuncUnits.funcUnits[6].opLat,2,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[6].opLat,1,84668625.25,94671000.25,0.8943459457110785,0.07886096875,7699439.0625
executeFuncUnits.funcUnits[0].issueLat,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[0].issueLat,2,84668625.25,110699048.96875,0.764854134147997,0.09221234374999998,7711297.0625
executeFuncUnits.funcUnits[0].issueLat,3,84668625.25,111040073.625,0.7625051252752175,0.09249640625,7711311.875
executeFuncUnits.funcUnits[6].issueLat,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[6].issueLat,3,84668625.25,115640394.28125,0.7321717102077385,0.09632850000000003,7711207.71875
executeFuncUnits.funcUnits[6].issueLat,2,84668625.25,109743255.0625,0.7715155268702416,0.091416125,7711043.75
executeFuncUnits.funcUnits[1].issueLat,3,84668625.25,107799828.96875,0.7854244859195882,0.08979725000000001,7711037.65625
executeFuncUnits.funcUnits[1].issueLat,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[1].issueLat,2,84668625.25,106217263.0,0.7971267839014078,0.08847890625000002,7711019.125
executeBranchDelay,2,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeBranchDelay,1,84668625.25,105080339.125,0.8057513513472876,0.0875319375,7697587.0
executeBranchDelay,4,84668625.25,105408940.4375,0.8032395060474256,0.08780562500000003,7758600.25
executeBranchDelay,3,84668625.25,105262903.40625,0.8043538845136281,0.08768406249999999,7711673.3125
executeFuncUnits.funcUnits[7].issueLat,2,84668625.25,106292543.15625,0.7965622303865395,0.08854165624999999,7711012.03125
executeFuncUnits.funcUnits[7].issueLat,1,84668625.25,105168480.75,0.8050760517428127,0.08760531250000002,7710995.625
executeFuncUnits.funcUnits[7].issueLat,3,84668625.25,108072520.5,0.7834426814353793,0.09002459375,7698219.15625
executeFuncUnits.funcUnits[0].opLat,1,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[0].opLat,3,84668625.25,124759051.625,0.6786571727436373,0.10392424999999997,7731826.1875
executeFuncUnits.funcUnits[0].opLat,2,84668625.25,111788305.875,0.7574014525694234,0.09311965625,7712201.96875
executeFuncUnits.funcUnits[2].issueLat,4,84668625.25,105168480.75,0.8050760517428127,0.08760531249999998,7710995.625
executeFuncUnits.funcUnits[2].issueLat,3,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
executeFuncUnits.funcUnits[2].issueLat,2,84668625.25,105168480.75,0.8050760517428127,0.0876053125,7710995.625
