parameter,value,PC1,PC2
branchPred.BTBEntries,2048,-0.43864292535317606,-0.2070813824835189
branchPred.BTBEntries,256,-0.43862022582848675,-0.2067393239256618
branchPred.BTBEntries,4096,-0.4386432666880871,-0.20708293639435796
branchPred.BTBEntries,1024,-0.43862989176801415,-0.2070752341453517
branchPred.BTBEntries,32,-0.4310103529804795,-0.13708059503472006
branchPred.BTBEntries,512,-0.4386282966620606,-0.20702935865769817
branchPred.BTBEntries,128,-0.43860343799128326,-0.20616860804274376
branchPred.BTBEntries,16,0.48949132754558766,8.018578338014999
branchPred.BTBEntries,64,-0.4352301363318123,-0.18007411573976925
executeFuncUnits.funcUnits[7].opLat,1,-0.4702899851544469,-0.13719342509571592
executeFuncUnits.funcUnits[7].opLat,3,-0.5706546993512018,-0.12929185041709113
executeFuncUnits.funcUnits[7].opLat,2,-0.43101035298048795,-0.13708059503472036
executeFuncUnits.funcUnits[3].issueLat,7,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[3].issueLat,3,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[3].issueLat,2,-0.43101035298048235,-0.13708059503472042
executeFuncUnits.funcUnits[3].issueLat,8,-0.43101035298048235,-0.13708059503472042
executeFuncUnits.funcUnits[3].issueLat,5,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[3].issueLat,6,-0.43101035298048795,-0.13708059503472036
executeFuncUnits.funcUnits[3].issueLat,4,-0.43101035298048235,-0.13708059503472042
executeFuncUnits.funcUnits[1].opLat,3,0.5492034223614352,-0.10398743712754249
executeFuncUnits.funcUnits[1].opLat,2,-1.5854762744832405,-0.12819563169846607
executeFuncUnits.funcUnits[1].opLat,1,-0.43101035298048235,-0.13708059503472042
executeInputBufferSize,3,-0.344124519095129,-0.46088993861267125
executeInputBufferSize,7,-0.44181990485429873,2.136842160739388
executeInputBufferSize,1,3.4747900473376627,-1.9979156773285924
executeInputBufferSize,5,-0.4462209782072953,-0.12484098870879222
executeInputBufferSize,4,-0.4310103529804852,-0.13708059503472034
executeInputBufferSize,6,-0.4387140551852257,1.484994700318242
executeInputBufferSize,8,-0.43217056428057177,2.9999568983628877
executeInputBufferSize,2,-0.18602475649228825,-1.1380027013339655
branchPred.indirectBranchPred.indirectPathLength,2,-0.4286294903930142,-0.1307244377147657
branchPred.indirectBranchPred.indirectPathLength,3,-0.4310103529804852,-0.13708059503472034
branchPred.indirectBranchPred.indirectPathLength,4,-0.4295243810577078,-0.13390442375211994
branchPred.indirectBranchPred.indirectPathLength,5,-0.4302014329809486,-0.13711273927200443
executeFuncUnits.funcUnits[3].opLat,5,-0.47509877588655874,-0.13685546182571726
executeFuncUnits.funcUnits[3].opLat,8,-0.34293684708973465,-0.13753059830866152
executeFuncUnits.funcUnits[3].opLat,3,-0.5633426705552886,-0.13640514038863583
executeFuncUnits.funcUnits[3].opLat,2,-0.5961928503007126,-0.1362375967672212
executeFuncUnits.funcUnits[3].opLat,4,-0.5192163279771811,-0.13663027583150833
executeFuncUnits.funcUnits[3].opLat,6,-0.4310103529804795,-0.1370805950347204
executeFuncUnits.funcUnits[3].opLat,7,-0.38695749259810147,-0.1373056296562809
executeFuncUnits.funcUnits[6].opLat,3,7.917177724447329,-0.1642683968656296
executeFuncUnits.funcUnits[6].opLat,2,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[6].opLat,1,-6.15591718239758,-0.3962268127939029
executeFuncUnits.funcUnits[0].issueLat,1,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[0].issueLat,2,2.4188234419338452,-0.1443232230221547
executeFuncUnits.funcUnits[0].issueLat,3,2.5913567317579487,-0.14485915691019816
executeFuncUnits.funcUnits[6].issueLat,1,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[6].issueLat,3,4.885851228624585,-0.15960608145067512
executeFuncUnits.funcUnits[6].issueLat,2,1.933328115337386,-0.1480888439086064
executeFuncUnits.funcUnits[1].issueLat,3,0.9373910653172395,-0.14306742354824745
executeFuncUnits.funcUnits[1].issueLat,1,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[1].issueLat,2,0.11722447731369674,-0.13930285966487177
executeBranchDelay,2,-0.4310103529804852,-0.13708059503472034
executeBranchDelay,1,-0.47899791277071535,-0.4705136499613439
executeBranchDelay,4,-0.2987711649212384,1.0469004931110046
executeBranchDelay,3,-0.3813863482332917,-0.12046965963092586
executeFuncUnits.funcUnits[7].issueLat,2,0.15643722386022121,-0.13968072621482033
executeFuncUnits.funcUnits[7].issueLat,1,-0.43101035298048235,-0.13708059503472042
executeFuncUnits.funcUnits[7].issueLat,3,1.07623890807989,-0.46277869976634634
executeFuncUnits.funcUnits[0].opLat,1,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[0].opLat,3,9.275861993755568,0.3296147273594554
executeFuncUnits.funcUnits[0].opLat,2,2.9687968896559678,-0.12469233751708325
executeFuncUnits.funcUnits[2].issueLat,4,-0.4310103529804908,-0.13708059503472034
executeFuncUnits.funcUnits[2].issueLat,3,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[2].issueLat,2,-0.4310103529804852,-0.13708059503472034
branchPred.indirectBranchPred.indirectWays,2,-0.43101035298048795,-0.13708059503472036
branchPred.indirectBranchPred.indirectWays,1,-0.4310103529804852,-0.13708059503472034
branchPred.indirectBranchPred.indirectWays,8,-0.43101035298048795,-0.13708059503472036
branchPred.indirectBranchPred.indirectWays,4,-0.4310103529804852,-0.13708059503472034
executeFuncUnits.funcUnits[2].opLat,2,-0.6279773925272768,-0.13607554220786677
executeFuncUnits.funcUnits[2].opLat,4,-0.2345418367115892,-0.13808493166849986
executeFuncUnits.funcUnits[2].opLat,3,-0.43101035298048235,-0.13708059503472042
branchPred.indirectBranchPred.indirectTagSize,8,-0.43100983656640257,-0.137092262115124
branchPred.indirectBranchPred.indirectTagSize,32,-0.4300832550485266,-0.12478655480314671
branchPred.indirectBranchPred.indirectTagSize,16,-0.4310103529804852,-0.13708059503472034
branchPred.indirectBranchPred.indirectSets,1024,-0.4345558430373128,-0.15936985797835007
branchPred.indirectBranchPred.indirectSets,512,-0.4345558674553783,-0.15937452385321474
branchPred.indirectBranchPred.indirectSets,128,-0.4338835388734972,-0.15933285002957565
branchPred.indirectBranchPred.indirectSets,256,-0.43573565826905425,-0.16885215070794715
decodeCycleInput,True,-0.4310103529804852,-0.13708059503472034
decodeCycleInput,False,-0.43091255173971504,-0.13706476419399458
fetch1FetchLimit,2,-0.43101035298048235,-0.13708059503472042
fetch1FetchLimit,4,-0.4310103529804852,-0.13708059503472034
fetch1FetchLimit,1,-0.4310103529804852,-0.13708059503472034
threadPolicy,"""RoundRobin""",-0.40374560061067083,-0.13728282094724503
threadPolicy,"""SingleThreaded""",-0.4310103529804852,-0.13708059503472034
enableIdling,False,-0.4310103529804852,-0.13708059503472034
enableIdling,True,0.06005793271672681,-0.13959744870214003
