Parameter,Value,overall,control,execution,memory,data_dependency,store_intense
branchPred.BTBEntries,2048,0.08759378125,0.11593440000000002,0.062086749999999996,0.10528909090909089,0.0282968,0.047823000000000004
branchPred.BTBEntries,256,0.0875938125,0.11593439999999999,0.06208675,0.10528918181818181,0.0282968,0.047823000000000004
branchPred.BTBEntries,4096,0.08759378125,0.11593439999999999,0.062086749999999996,0.10528909090909093,0.0282968,0.047823000000000004
branchPred.BTBEntries,1024,0.0875938125,0.11593440000000002,0.06208675,0.10528918181818182,0.0282968,0.047823000000000004
branchPred.BTBEntries,32,0.08760531250000003,0.1159586,0.06208675000000001,0.10530054545454547,0.0282968,0.047823500000000005
branchPred.BTBEntries,512,0.0875938125,0.11593439999999999,0.06208675,0.10528918181818181,0.0282968,0.047823000000000004
branchPred.BTBEntries,128,0.08759384375000001,0.11593439999999999,0.06208675,0.10528927272727272,0.0282968,0.047823000000000004
branchPred.BTBEntries,16,0.08900699999999999,0.12042380000000001,0.06208675,0.10531618181818182,0.028299399999999995,0.047832
branchPred.BTBEntries,64,0.08759896875000002,0.1159443,0.06208675000000001,0.10529509090909092,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[7].opLat,1,0.08754296875000002,0.1162741,0.06042075,0.105376,0.028433599999999996,0.047823500000000005
executeFuncUnits.funcUnits[7].opLat,3,0.08738368750000002,0.11686350000000001,0.062087,0.10443927272727273,0.0282972,0.0444885
executeFuncUnits.funcUnits[7].opLat,2,0.08760531249999999,0.11595860000000002,0.06208675,0.10530054545454547,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,7,0.0876053125,0.1159586,0.06208675,0.10530054545454547,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,3,0.0876053125,0.1159586,0.06208675000000001,0.10530054545454544,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,2,0.08760531250000002,0.1159586,0.062086749999999996,0.10530054545454548,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,8,0.08760531250000002,0.1159586,0.062086749999999996,0.10530054545454548,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,5,0.0876053125,0.1159586,0.062086749999999996,0.10530054545454547,0.0282968,0.047823500000000005
executeFuncUnits.funcUnits[3].issueLat,6,0.08760531249999999,0.1159586,0.062086749999999996,0.10530054545454547,0.0282968,0.047823500000000005
