Parameter,Value,Instructions,Cycles,IPC,Seconds,Branches
branchPred.BTBEntries,2048,35251759.0,57410716.0,0.6140275101254616,0.047823000000000004,1643769.5
branchPred.BTBEntries,256,35251759.0,57410715.5,0.6140275154731349,0.047823000000000004,1643781.5
branchPred.BTBEntries,4096,35251759.0,57410752.0,0.614027125093223,0.047823000000000004,1643770.0
branchPred.BTBEntries,1024,35251759.0,57410716.0,0.6140275101254616,0.047823000000000004,1643769.5
branchPred.BTBEntries,32,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.BTBEntries,512,35251759.0,57410715.5,0.6140275154731349,0.047823000000000004,1643771.0
branchPred.BTBEntries,128,35251759.0,57410715.5,0.6140275154731349,0.047823000000000004,1643805.5
branchPred.BTBEntries,16,35251759.0,57421246.0,0.6139149087778416,0.047832,1645509.5
branchPred.BTBEntries,64,35251759.0,57410830.5,0.6140262855107104,0.047823500000000005,1643835.0
executeFuncUnits.funcUnits[7].opLat,1,35251759.0,57410882.5,0.6140257293554058,0.047823500000000005,1643865.0
executeFuncUnits.funcUnits[7].opLat,3,35251759.0,53407565.5,0.6600517861088426,0.0444885,1643915.5
executeFuncUnits.funcUnits[7].opLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,7,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,3,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,8,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,5,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,6,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].issueLat,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[1].opLat,3,35251759.0,59886168.5,0.5886460911253656,0.049885,1644093.0
executeFuncUnits.funcUnits[1].opLat,2,35251759.0,56608740.5,0.6227264321487598,0.0471555,1643941.5
executeFuncUnits.funcUnits[1].opLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeInputBufferSize,3,35251759.0,57411785.5,0.6140160716652855,0.047824000000000005,1643830.5
executeInputBufferSize,7,35251759.0,57410588.5,0.6140288737851903,0.047823000000000004,1644054.5
executeInputBufferSize,1,35251759.0,58655218.5,0.6009995342528645,0.04886,1642866.0
executeInputBufferSize,5,35251759.0,57410655.0,0.6140281625423016,0.047823000000000004,1643925.0
executeInputBufferSize,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeInputBufferSize,6,35251759.0,57410648.5,0.6140282320622106,0.047823000000000004,1644010.0
executeInputBufferSize,8,35251759.0,57410618.5,0.6140285529235328,0.047823000000000004,1644081.5
executeInputBufferSize,2,35251759.0,57411282.5,0.6140214512713594,0.047823500000000005,1642983.0
branchPred.indirectBranchPred.indirectPathLength,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643874.0
branchPred.indirectBranchPred.indirectPathLength,3,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectPathLength,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.0
branchPred.indirectBranchPred.indirectPathLength,5,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,5,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,8,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,3,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,6,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[3].opLat,7,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[6].opLat,3,35251759.0,63188222.5,0.5578849602867053,0.0526355,1643943.5
executeFuncUnits.funcUnits[6].opLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[6].opLat,1,35251759.0,49250339.0,0.7157668295440566,0.0410255,1643784.5
executeFuncUnits.funcUnits[0].issueLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[0].issueLat,2,35251759.0,59886203.0,0.5886457520106927,0.049885,1643922.5
executeFuncUnits.funcUnits[0].issueLat,3,35251759.0,59871168.5,0.5887935693120805,0.0498725,1643934.5
executeFuncUnits.funcUnits[6].issueLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[6].issueLat,3,35251759.0,62328180.0,0.5655829995356836,0.0519195,1643901.5
executeFuncUnits.funcUnits[6].issueLat,2,35251759.0,59867749.5,0.5888271948488727,0.0498695,1643896.5
executeFuncUnits.funcUnits[1].issueLat,3,35251759.0,59851682.5,0.5889852636974742,0.0498565,1643915.5
executeFuncUnits.funcUnits[1].issueLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[1].issueLat,2,35251759.0,59027994.5,0.5972040774653118,0.0491705,1643899.0
executeBranchDelay,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeBranchDelay,1,35251759.0,57410355.5,0.6140313658221468,0.047823000000000004,1643735.0
executeBranchDelay,4,35251759.0,57413047.5,0.6140025749373433,0.047825000000000006,1644262.5
executeBranchDelay,3,35251759.0,57411999.0,0.6140137883023373,0.047824500000000006,1644059.5
executeFuncUnits.funcUnits[7].issueLat,2,35251759.0,57411279.0,0.6140214887043363,0.047823500000000005,1643898.0
executeFuncUnits.funcUnits[7].issueLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[7].issueLat,3,35251759.0,57411440.5,0.6140197614445853,0.047824000000000005,1643905.0
executeFuncUnits.funcUnits[0].opLat,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[0].opLat,3,35251759.0,67305711.0,0.5237558370046785,0.056065500000000004,1644260.0
executeFuncUnits.funcUnits[0].opLat,2,35251759.0,60727951.5,0.5804865490975766,0.050586500000000006,1644056.0
executeFuncUnits.funcUnits[2].issueLat,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[2].issueLat,3,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[2].issueLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectWays,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectWays,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectWays,8,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectWays,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[2].opLat,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[2].opLat,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
executeFuncUnits.funcUnits[2].opLat,3,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectTagSize,8,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectTagSize,32,35251759.0,57410830.5,0.6140262855107104,0.047823500000000005,1643848.5
branchPred.indirectBranchPred.indirectTagSize,16,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
branchPred.indirectBranchPred.indirectSets,1024,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643875.5
branchPred.indirectBranchPred.indirectSets,512,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643875.5
branchPred.indirectBranchPred.indirectSets,128,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643875.5
branchPred.indirectBranchPred.indirectSets,256,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643875.5
decodeCycleInput,True,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
decodeCycleInput,False,35251759.0,57410918.0,0.614025349673036,0.047823500000000005,1643871.5
fetch1FetchLimit,2,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
fetch1FetchLimit,4,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
fetch1FetchLimit,1,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
threadPolicy,"""RoundRobin""",35251759.0,57410918.0,0.614025349673036,0.047823500000000005,1643869.0
threadPolicy,"""SingleThreaded""",35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
enableIdling,False,35251759.0,57410885.5,0.6140256972695535,0.047823500000000005,1643872.5
enableIdling,True,35251759.0,58210452.0,0.6055915697064163,0.048489000000000004,1643872.5
